,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,control,tamoxifen,172.0,194.8,212.3,265.7,93.7,70.89999999999998,53.39999999999998,234.6,385.3,477.7,124.8,256.6,151.8,0.0611055062670235,32.08771329877792,256.1539942013553,-87.97607813806863,38.12065288900756,7.788520130914012e-05,0.0004595529340311,0.000381667732722,32.026607792510895,False,False,False,492.8636249119281,low/none
1,1,iso,control,tamoxifen,170.2,193.0,210.7,264.6,94.40000000000003,71.60000000000002,53.900000000000034,213.9,343.6,422.5,107.4,223.0,134.9,0.0234213623999545,17.103937130541773,256.3521754226414,-87.97785993387896,38.20109649965968,7.73745414208722e-05,0.0005146827499638,0.000437308208543,17.08051576814182,True,True,False,490.2432847124247,low/none
2,2,iso,control,tamoxifen,171.5,194.2,211.8,265.4,93.89999999999998,71.19999999999999,53.599999999999966,227.1,371.8,460.5,147.4,290.5,209.2,0.1505541367460266,36.59754018271783,256.2127025814714,-87.97662134928834,38.150659830997306,7.773954743575037e-05,0.0004765573887971,0.0003988178413613,36.446986045971805,False,True,False,492.15542938818976,low/none
3,3,iso,control,tamoxifen,171.2,194.0,211.6,265.2,94.0,71.19999999999999,53.6,226.6,367.3,453.4,115.5,236.4,172.0,0.0248832336018413,18.29547835769525,256.244281742521,-87.97705354723855,38.15063619621414,7.761274231820159e-05,0.0004805426892005,0.0004029299468823,18.270595124093408,False,True,False,491.8065011118885,low/none
4,4,iso,control,tamoxifen,170.9,193.7,211.3,265.1,94.20000000000002,71.40000000000003,53.80000000000001,224.8,361.7,445.1,131.5,249.3,188.1,0.0786436723570325,24.71107528402949,256.2779672581013,-87.97747026265982,38.15285275650892,7.748608631388322e-05,0.0004870059201086,0.0004095198337948,24.632431611672462,False,True,False,491.3998016578973,low/none
5,5,iso,control,tamoxifen,171.2,193.9,211.5,265.2,94.0,71.29999999999998,53.69999999999999,227.6,367.0,452.1,131.4,284.3,155.4,0.0328165041071904,16.222550924080732,256.25372366878315,-87.97727232156416,38.14251669888027,7.754339193148497e-05,0.0004798784254339,0.0004023350335024,16.18973441997354,False,True,False,491.72997131032776,low/none
6,6,iso,control,tamoxifen,171.3,194.0,211.6,265.3,94.0,71.30000000000001,53.70000000000002,230.0,370.3,455.9,119.1,237.2,149.7,0.0459700881350478,22.51441608651352,256.2432787439084,-87.97726835590888,38.13151968533148,7.753561936099977e-05,0.00047516252363,0.000397626904269,22.468445998378478,False,True,False,491.8942276012321,low/none
7,7,iso,control,tamoxifen,170.7,193.4,211.1,264.9,94.2,71.49999999999997,53.79999999999998,220.3,354.5,436.4,135.0,280.0,157.4,0.1023799724692597,33.290032914367885,256.3057854441957,-87.97759736859031,38.17311260437274,7.745280125044249e-05,0.0004976502203205,0.0004201974190701,33.18765294189863,False,True,False,490.9726396285992,low/none
8,8,iso,control,tamoxifen,172.9,195.6,213.0,266.2,93.29999999999998,70.6,53.19999999999999,249.0,407.9,505.3,157.2,313.7,179.8,0.1835975572859036,40.54550402805296,256.0669817615745,-87.97535114847933,38.06552025084445,7.808210805802974e-05,0.0004327649776447,0.0003546828695866,40.36190647076705,False,False,False,493.83607324171606,low/none
9,9,iso,control,tamoxifen,173.3,196.0,213.4,266.5,93.2,70.5,53.1,252.9,416.9,517.5,150.2,311.5,142.1,0.1981658762766272,35.64073970001448,256.0189732429859,-87.97462680246613,38.05235836739759,7.831145257582801e-05,0.0004244271709578,0.0003461157183819,35.44257382373785,False,False,False,494.2425956939867,low/none
