,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,gomez,tamoxifen,206.8,243.1,270.2,345.3,138.5,102.20000000000002,75.10000000000002,470.1,690.2,809.6,186.8,434.1,283.8,0.4693773994670512,8.490642307047674,240.21309268383405,-87.73297623672246,40.04731868367729,0.0001002065075853,0.0001968747992151,9.6668291629842e-05,8.021264907580623,False,False,False,79.04563741679178,low/none
1,1,iso,gomez,tamoxifen,205.1,241.8,269.6,346.1,141.00000000000003,104.3,76.5,439.2,641.6,762.4,160.6,363.5,264.2,0.1077465397677387,3.216923349694164,240.94664603602655,-87.76034718298037,40.106334731897455,9.608110135942716e-05,0.0002100783221645,0.0001139972208051,3.109176809926425,False,False,False,77.00389070287676,low/none
2,2,iso,gomez,tamoxifen,206.3,242.7,270.0,345.5,139.2,102.8,75.5,460.7,676.6,797.1,211.5,453.5,327.7,1.1599830854303996,15.53403303311375,240.44568540290496,-87.74163825801993,40.06189636374806,9.891288210124336e-05,0.0002006025130473,0.000101689630946,14.374049947683352,False,False,False,78.63729489938191,low/none
3,3,iso,gomez,tamoxifen,206.2,242.6,270.0,345.6,139.40000000000003,103.00000000000004,75.60000000000002,458.1,671.4,791.8,159.2,347.7,290.3,0.1755303090090097,3.6063171137928354,240.5540591561129,-87.74581659581966,40.07493521975995,9.829544820920402e-05,0.0002019845298963,0.0001036890816871,3.4307868047838257,False,False,False,78.05592175108978,low/none
4,4,iso,gomez,tamoxifen,206.0,242.5,269.9,345.8,139.8,103.3,75.90000000000003,454.7,664.9,785.4,189.7,418.0,303.4,0.5372130580069162,9.248341876492486,240.67064586971307,-87.7502834275364,40.08960950594613,9.763000782854091e-05,0.0002036723949474,0.0001060423871188,8.71112881848557,False,False,False,77.46226746466724,low/none
5,5,iso,gomez,tamoxifen,206.2,242.7,270.0,345.7,139.5,103.0,75.69999999999999,458.8,671.1,791.4,191.9,434.9,289.2,0.1909075486876128,3.97354425922782,240.5788469463989,-87.74686009001479,40.08249922762708,9.81474754865556e-05,0.0002019956376267,0.0001038481621402,3.782636710540207,False,False,False,77.69734232978149,low/none
6,6,iso,gomez,tamoxifen,206.4,242.8,270.1,345.7,139.29999999999998,102.89999999999998,75.59999999999997,461.7,675.0,794.9,176.6,410.8,275.9,0.2959943041022722,6.214836788415127,240.5316032022996,-87.74516275406052,40.082768472364016,9.840850979791124e-05,0.0002009303071362,0.0001025217973383,5.918842484312854,False,False,False,77.63642908621418,low/none
7,7,iso,gomez,tamoxifen,205.6,242.2,269.8,345.9,140.29999999999998,103.7,76.09999999999997,448.6,656.0,776.8,197.7,449.0,283.9,0.9075508283984098,11.763180920595817,240.779418479126,-87.75424665135439,40.094597552346045,9.702144546570144e-05,0.0002061095384829,0.0001090880930172,10.855630092197403,False,False,False,77.35598255491598,low/none
8,8,iso,gomez,tamoxifen,207.7,243.9,270.6,345.1,137.40000000000003,101.20000000000002,74.5,485.8,710.5,827.2,229.7,505.2,307.0,2.648984607572494,19.40447666855677,239.8377370424087,-87.71912337828645,40.03452528716854,0.0001022594264687,0.0001912655925401,8.900616607135503e-05,16.75549206098428,False,False,False,79.17814227727266,low/none
9,9,iso,gomez,tamoxifen,207.9,244.0,270.7,344.9,136.99999999999997,100.89999999999998,74.19999999999999,490.3,717.1,833.0,224.2,517.5,280.4,2.284954256124739,15.110085131542736,239.65945947489644,-87.71240596372564,40.02103999842585,0.0001032308680772,0.0001893931659996,8.616229792238287e-05,12.825130875417996,False,False,False,79.64675893902067,low/none
10,10,iso,gomez,tamoxifen,208.4,244.4,270.9,344.7,136.29999999999998,100.29999999999998,73.80000000000001,499.0,728.4,842.4,234.3,528.0,290.9,3.931319903293817,23.313908148415177,239.3577878379723,-87.70119321470376,40.0066236415208,0.0001048470695842,0.0001861401266446,8.129305706037046e-05,19.38258824512136,False,False,False,80.04260515346479,low/none
11,11,iso,gomez,tamoxifen,209.9,245.7,271.5,344.0,134.1,98.3,72.5,526.3,761.5,868.1,240.3,534.7,306.1,2.31569471617715,13.582841700236084,238.1019384715021,-87.65509557857835,39.94884341521942,0.0001112925344903,0.0001758000725776,6.450753808734492e-05,11.267146984058934,False,False,False,81.84920552756596,low/none
12,12,iso,gomez,tamoxifen,207.7,243.9,270.7,345.1,137.40000000000003,101.20000000000002,74.40000000000003,487.4,711.9,828.3,202.2,466.2,292.3,0.7687856131371985,9.489715066601086,239.8236583114549,-87.71866417628206,40.038343123734265,0.0001023321700523,0.0001908710087143,8.853883866197783e-05,8.720929453463887,False,False,False,78.99467181341069,low/none
13,13,iso,gomez,tamoxifen,205.1,241.8,269.6,346.2,141.1,104.39999999999998,76.59999999999997,439.4,641.1,761.7,173.2,401.5,262.9,0.3949624822517553,7.8326352484768975,240.9640365526584,-87.76107384708361,40.11160083334341,9.597584158924228e-05,0.0002101528581825,0.0001141770165932,7.437672766225142,False,False,False,76.75131351140897,low/none
14,14,iso,gomez,tamoxifen,208.2,244.3,270.8,344.9,136.7,100.59999999999997,74.09999999999997,494.9,722.6,837.4,239.0,523.3,307.0,3.1599591983669613,18.26331938539523,239.5389198200077,-87.70797658143336,40.01893218638583,0.0001038765818225,0.0001878613603493,8.398477852677748e-05,15.10336018702827,False,False,False,79.62793707604506,low/none
15,15,iso,gomez,tamoxifen,206.6,243.0,270.2,345.5,138.9,102.5,75.30000000000001,466.0,682.4,802.1,241.4,518.7,305.3,4.274552931229516,23.053518178978774,240.3898286739,-87.73975983162846,40.06698231622028,9.921051413300888e-05,0.0001989616343858,9.975112025286713e-05,18.77896524774926,False,False,False,78.2273205974115,low/none
16,16,iso,gomez,tamoxifen,204.9,241.6,269.5,346.2,141.29999999999998,104.6,76.69999999999999,435.4,635.8,756.6,172.2,395.9,266.4,0.4523008453037068,8.445569531428548,241.00464980896385,-87.76241999471073,40.109897430602565,9.575722880933828e-05,0.0002116993004796,0.0001159420716702,7.993268686124841,False,False,False,76.91537817659905,low/none
17,17,iso,gomez,tamoxifen,209.3,245.2,271.3,344.3,135.0,99.10000000000002,73.0,515.8,748.9,858.5,275.2,562.3,320.2,5.013131703723977,17.736801452595273,238.6805674176657,-87.6762214122642,39.9770258189893,0.0001083793520848,0.0001799840259762,7.160467389139507e-05,12.723669748871297,False,False,False,80.89479494911976,low/none
18,18,iso,gomez,tamoxifen,207.1,243.4,270.4,345.2,138.1,101.79999999999998,74.80000000000001,475.8,697.2,815.6,196.6,462.0,281.1,1.0461728958667973,11.859129129684831,240.10741759229853,-87.7291453148462,40.04637487545559,0.0001007831683876,0.0001949587774813,9.417560909368368e-05,10.812956233818031,False,False,False,78.91031701935475,low/none
19,19,iso,gomez,tamoxifen,206.4,242.8,270.1,345.6,139.20000000000002,102.8,75.5,462.4,677.1,797.2,229.0,497.6,309.1,1.163580090824312,9.753835008314736,240.4749977452359,-87.74292949709712,40.07219100897064,9.873464448481389e-05,0.0002003982878812,0.0001016636433964,8.590254917490425,False,False,False,78.07776874515014,low/none
20,20,iso,gomez,tamoxifen,204.5,241.3,269.3,346.4,141.89999999999998,105.09999999999997,77.09999999999997,427.4,622.1,742.1,200.5,447.7,293.0,0.2110427584946229,3.854884038387898,241.15034908566392,-87.76774988828292,40.12612708703166,9.49314336207862e-05,0.0002154904627465,0.0001205590291257,3.643841279893275,False,False,False,76.28018438279908,low/none
21,21,iso,gomez,tamoxifen,207.1,243.4,270.3,345.1,138.00000000000003,101.70000000000002,74.80000000000001,476.1,698.9,817.4,198.4,458.1,290.8,1.0384785202921238,12.577653919318196,240.0447841486027,-87.72668753492351,40.037060841330025,0.0001011361166449,0.0001944976947691,9.336157812412402e-05,11.539175399026073,False,False,False,79.34055803385489,low/none
22,22,iso,gomez,tamoxifen,203.8,240.7,269.1,346.6,142.8,105.90000000000003,77.5,415.1,602.4,721.1,154.7,343.4,276.8,0.1831313682742468,4.297132980929439,241.30814604089463,-87.77322190465621,40.13957430119615,9.405825247452172e-05,0.00022120683039,0.0001271485779154,4.114001612655192,False,False,False,75.83679106379917,low/none
23,23,iso,gomez,tamoxifen,207.7,243.9,270.6,345.0,137.3,101.1,74.39999999999998,487.1,712.5,828.9,219.4,483.6,313.2,0.9362300553184456,10.15024700109672,239.7843104873064,-87.71710109356972,40.02994671326126,0.0001025519976909,0.0001907131415915,8.816114390054481e-05,9.214016945778276,False,False,False,79.34314237301543,low/none
24,24,iso,gomez,tamoxifen,204.2,241.1,269.2,346.5,142.3,105.4,77.30000000000001,423.0,615.3,735.0,209.8,469.1,276.7,1.6006944635612723,12.191390988140547,241.2043604532092,-87.76961196348095,40.12935595956827,9.46336382960998e-05,0.0002174438484293,0.0001228102101332,10.590696524579275,False,False,False,76.20190187851891,low/none
25,25,iso,gomez,tamoxifen,205.1,241.8,269.6,346.2,141.1,104.39999999999998,76.59999999999997,439.1,640.7,761.4,184.6,423.2,271.2,0.3828321875875103,6.31937621241168,240.96700802767168,-87.76117116050497,40.11138158086109,9.595997062498596e-05,0.0002102675407832,0.0001143075701582,5.93654402482417,False,False,False,76.76655249500806,low/none
26,26,iso,gomez,tamoxifen,206.3,242.7,270.0,345.6,139.3,102.90000000000003,75.60000000000002,460.0,674.1,794.4,152.6,344.2,265.5,0.0877574842335705,2.251713693954331,240.5125859670059,-87.74427630751079,40.0721617925947,9.852775155140866e-05,0.000201241358382,0.0001027136068306,2.1639562097207605,False,False,False,78.13890722370124,low/none
27,27,iso,gomez,tamoxifen,205.5,242.1,269.7,345.9,140.39999999999998,103.79999999999998,76.19999999999999,446.9,653.7,774.6,160.7,374.6,260.1,0.2316326139515047,6.800252660186497,240.80399726270343,-87.75511772508736,40.095019101275,9.68855424502982e-05,0.0002067653897527,0.0001098798473024,6.568620046234992,False,False,False,77.3753563401967,low/none
28,28,iso,gomez,tamoxifen,206.2,242.7,270.0,345.7,139.5,103.0,75.69999999999999,459.7,673.2,793.5,173.1,402.2,275.0,0.3561370117624742,8.593923275091925,240.53663068464056,-87.74522773327384,40.076474289158,9.838894197235225e-05,0.0002014610239398,0.0001030720819674,8.23778626332945,False,False,False,77.94345466577158,low/none
29,29,iso,gomez,tamoxifen,206.8,243.1,270.2,345.3,138.5,102.20000000000002,75.10000000000002,469.9,689.4,808.7,190.0,450.6,274.2,0.6202290660832154,8.142577325199838,240.24339114126855,-87.73417099145645,40.05194811763627,0.0001000342779538,0.0001971019736817,9.706769572790124e-05,7.522348259116622,False,False,False,78.81960923445797,low/none
