,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,gomez,terfenadine,202.7,240.6,270.8,352.1,149.40000000000003,111.50000000000004,81.30000000000001,360.0,493.0,589.5,183.5,363.2,210.4,0.1413287188872728,1.0762782898860874,241.9205274330753,-87.7862883404032,39.87667017105719,9.1238636222167e-05,0.0002501823009727,0.0001589436647505,0.9349495709988146,False,False,False,94.6703078710426,intermediate
1,1,dyn,gomez,terfenadine,202.7,240.5,270.7,351.9,149.2,111.39999999999998,81.19999999999999,352.8,489.0,597.0,166.6,343.2,203.7,0.073422092298389,0.7483581960108932,241.87815293591228,-87.78442629994059,39.8770815226028,9.151616611658512e-05,0.0002516767183842,0.0001601605522676,0.6749361037125041,False,False,False,94.86688973092964,intermediate
2,2,dyn,gomez,terfenadine,202.3,240.3,270.7,352.5,150.2,112.2,81.80000000000001,356.5,490.0,576.1,192.3,365.6,238.0,0.2459547703784695,1.5293424088149328,242.06695353882048,-87.79163033335878,39.881946631726485,9.040812675540572e-05,0.0002554304388262,0.0001650223120708,1.2833876384364633,False,False,False,94.11018002328566,intermediate
3,3,dyn,gomez,terfenadine,203.7,241.3,271.2,352.1,148.40000000000003,110.8,80.90000000000003,364.4,515.0,626.8,163.3,405.7,217.6,0.0921623815663828,0.6910271995694581,241.83990027301263,-87.78451401639977,39.85605774759559,9.159350300444954e-05,0.0002437883677659,0.0001521948647615,0.5988648180030752,False,False,False,94.72236489921534,intermediate
4,4,dyn,gomez,terfenadine,202.2,240.2,270.7,352.4,150.2,112.2,81.69999999999999,353.5,481.2,572.5,183.3,355.6,219.8,0.1643224408291338,1.264261564056934,242.02638111828296,-87.78971124297674,39.89864890902691,9.06816189134063e-05,0.0002562306895707,0.0001655490706573,1.0999391232278,False,False,False,93.798333466299,intermediate
5,5,dyn,gomez,terfenadine,203.2,241.0,271.1,352.4,149.2,111.39999999999998,81.29999999999995,365.1,502.7,601.4,182.5,381.1,225.3,0.0884062269555498,0.7991051057889413,241.9303895961041,-87.78751671115309,39.87632901875482,9.110962573371344e-05,0.0002471028168768,0.000155993191143,0.7106988788333914,False,False,False,93.89014578432176,intermediate
6,6,dyn,gomez,terfenadine,202.5,240.5,270.7,352.1,149.60000000000002,111.60000000000002,81.40000000000003,356.1,488.1,588.2,177.2,363.3,203.5,0.1159677832637897,0.9936434893427188,241.9277870857787,-87.7862936588813,39.89538848636935,9.1224902316126e-05,0.0002517476926863,0.0001605227903701,0.877675706078929,False,False,False,94.23570526494576,intermediate
7,7,dyn,gomez,terfenadine,201.9,239.9,270.5,352.1,150.20000000000002,112.20000000000002,81.60000000000002,349.7,482.5,571.9,202.4,395.9,216.3,0.2321577214485739,1.4602659965681033,242.08681067169903,-87.79167521199813,39.90104993673275,9.03540417499349e-05,0.0002586563840867,0.0001683023423368,1.2281082751195294,False,False,False,94.5485745425148,intermediate
8,8,dyn,gomez,terfenadine,202.5,240.5,270.8,352.3,149.8,111.8,81.5,360.9,499.0,589.4,202.3,398.9,223.8,0.3194059623997805,1.670553320906066,242.07345085548965,-87.79235270784487,39.89286793960003,9.031282032817228e-05,0.0002516117474264,0.0001612989270983,1.3511473585062856,False,False,False,94.36702366651916,intermediate
9,9,dyn,gomez,terfenadine,202.6,240.6,270.7,352.0,149.4,111.4,81.30000000000001,361.9,503.3,600.8,203.2,415.9,207.5,0.319029249372587,1.5156009589823476,242.00619240412337,-87.78987928381943,39.88564891955188,9.069566964661164e-05,0.0002488699442364,0.0001581742745898,1.1965717096097606,False,False,False,95.3691985791916,intermediate
10,10,dyn,gomez,terfenadine,202.6,240.5,270.7,352.0,149.4,111.5,81.30000000000001,361.5,502.5,599.2,200.0,411.3,207.3,0.3724926776512436,1.7531756204100832,242.0176344779537,-87.79027211986944,39.88927658511216,9.06311784708633e-05,0.0002493619825116,0.0001587308040407,1.3806829427588396,False,False,False,95.22858585416536,intermediate
11,11,dyn,gomez,terfenadine,204.2,241.8,271.5,352.5,148.3,110.7,81.0,384.0,525.8,630.8,191.2,409.3,219.1,0.1810708772823397,1.0472534408796033,241.88934939048403,-87.78739294838626,39.87740038537184,9.11604064228456e-05,0.00023704050631,0.0001458800998871,0.8661825635972635,False,False,False,93.73282247698484,intermediate
12,12,dyn,gomez,terfenadine,203.0,240.9,271.0,352.4,149.39999999999998,111.49999999999996,81.39999999999998,365.7,500.4,599.1,188.7,389.8,212.5,0.1506107597801947,1.115882452254248,241.98884858876312,-87.78956290091844,39.89620775963897,9.075757359689983e-05,0.0002475671273553,0.0001568095537584,0.9652716924740532,False,False,False,93.82512622364618,intermediate
13,13,dyn,gomez,terfenadine,201.7,239.8,270.4,351.9,150.2,112.09999999999997,81.5,346.0,475.2,570.7,188.7,379.7,197.6,0.1495196070829124,1.211251055581433,242.0372529933541,-87.78940211462802,39.90654030615555,9.067781296562132e-05,0.0002596417025165,0.0001689638895508,1.0617314484985203,False,False,False,94.74466107320484,intermediate
14,14,dyn,gomez,terfenadine,202.8,240.7,270.9,352.3,149.5,111.60000000000002,81.40000000000003,365.0,505.8,599.2,204.2,409.7,224.0,0.3519885598200996,1.6362120760866277,242.04856955123387,-87.79183909634364,39.88800843569269,9.041667264607046e-05,0.0002485298018672,0.0001581131292212,1.284223516266528,False,False,False,94.60404424004136,intermediate
15,15,dyn,gomez,terfenadine,201.9,240.0,270.5,352.0,150.1,112.0,81.5,351.8,488.3,582.9,220.0,443.5,233.4,0.5712397183503038,2.087451931308772,242.0855820480551,-87.79191077033511,39.890475858060576,9.034239708730248e-05,0.000256666989187,0.0001663245920997,1.516212212958468,False,False,False,95.38125943415793,intermediate
16,16,dyn,gomez,terfenadine,201.6,239.7,270.3,351.8,150.20000000000002,112.10000000000002,81.5,343.4,471.7,567.4,186.0,373.4,197.0,0.1687709200710303,1.2961662402626442,242.03778670537707,-87.78915433832975,39.902132561611126,9.070068438541864e-05,0.0002614131945545,0.000170712510169,1.1273953201916138,False,False,False,94.94832013485006,intermediate
17,17,dyn,gomez,terfenadine,203.7,241.5,271.3,352.5,148.8,111.0,81.19999999999999,380.7,530.8,627.5,223.1,445.1,243.8,0.4032093454732959,1.546590825091154,242.0554712881734,-87.79373828978903,39.87401030615243,9.021642773561311e-05,0.0002402634101483,0.0001500469824127,1.143381479617858,False,False,False,94.5286319291202,intermediate
18,18,dyn,gomez,terfenadine,202.4,240.4,270.6,352.0,149.6,111.6,81.39999999999998,356.3,490.9,590.2,190.2,389.6,201.7,0.2122244745237965,1.3483721100967794,242.0016287215221,-87.78913823534378,39.89197495894352,9.07737652967727e-05,0.00025238457445,0.0001616108091533,1.136147635572983,False,False,False,94.86136502170612,intermediate
19,19,dyn,gomez,terfenadine,202.6,240.5,270.8,352.5,149.9,112.0,81.69999999999999,361.7,502.0,592.8,220.9,429.9,240.7,0.2419803819608752,1.3293167044207823,242.12882790713,-87.79468262432347,39.88882407780924,8.997176383551735e-05,0.0002520246877134,0.0001620529238779,1.0873363224599073,False,False,False,94.18369882001,intermediate
20,20,dyn,gomez,terfenadine,202.4,240.3,270.8,352.5,150.1,112.2,81.69999999999999,356.0,490.1,583.3,203.3,425.0,236.5,0.0916638267188793,0.8877308843407841,242.0988610058388,-87.79299802525405,39.890982368035495,9.020722626906224e-05,0.0002555166472867,0.0001653094210176,0.7960670576219047,False,False,False,93.83939636112356,intermediate
21,21,dyn,gomez,terfenadine,202.4,240.4,270.7,352.1,149.70000000000002,111.70000000000002,81.40000000000003,357.3,491.0,588.8,188.5,382.2,207.4,0.1982607202049648,1.3503722637908755,242.0036275049905,-87.78928485777067,39.88582648050461,9.075408650411324e-05,0.0002523453040781,0.000161591217574,1.1521115435859108,False,False,False,94.75641527763251,intermediate
22,22,dyn,gomez,terfenadine,202.0,240.0,270.5,352.0,150.0,112.0,81.5,346.1,480.4,579.1,172.6,395.4,214.2,0.1123673116394875,0.8575710708355242,242.02828689128037,-87.78944477904646,39.88965236568944,9.070390488464272e-05,0.0002588524121262,0.0001681485072416,0.7452037591960367,False,False,False,94.65659885334222,intermediate
23,23,dyn,gomez,terfenadine,203.2,241.1,271.2,352.7,149.5,111.6,81.5,370.9,507.6,599.0,198.7,393.0,230.4,0.1607170355399583,1.1376312639616075,242.03101401514732,-87.79166861174068,39.883956318731975,9.04781502226294e-05,0.0002465610283623,0.0001560828781396,0.9769142284216492,False,False,False,93.4693645946134,intermediate
