,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,control,terfenadine,173.4,196.8,214.9,269.9,96.49999999999996,73.09999999999997,54.99999999999997,235.4,385.2,477.2,124.3,256.4,150.8,0.060762719237881,29.795286931374623,256.29544900314227,-87.97741029075011,38.012990722911255,7.773949236598722e-05,0.0004477790884317,0.0003700395960657,29.73452421213674,False,False,False,497.6664127978386,intermediate
1,1,iso,control,terfenadine,171.6,195.0,213.3,268.7,97.1,73.69999999999999,55.39999999999998,214.3,343.4,422.1,107.0,222.8,134.0,0.0233217275756606,15.725414290918804,256.4897997691722,-87.9791612150039,38.08834238913317,7.725106022391446e-05,0.0005013035943459,0.000424052534122,15.70209256334314,True,True,False,495.23450030219374,intermediate
2,2,iso,control,terfenadine,172.8,196.2,214.4,269.5,96.7,73.30000000000001,55.1,227.8,371.7,460.0,146.5,289.6,207.8,0.1494958536200892,34.648781641832656,256.35289360076,-87.97793920489696,38.04118310334533,7.760254469159931e-05,0.0004643561489596,0.000386753604268,34.49928578821257,False,True,False,497.0141238325788,intermediate
3,3,iso,control,terfenadine,172.6,195.9,214.2,269.4,96.79999999999998,73.49999999999997,55.19999999999999,227.2,367.2,452.9,114.8,236.1,170.2,0.0247089123920583,16.770772028376022,256.38410794935265,-87.97836897358252,38.041127021196615,7.747872050687708e-05,0.0004681427494782,0.0003906640289714,16.746063115983965,False,True,False,496.6863567642087,intermediate
4,4,iso,control,terfenadine,172.3,195.6,213.9,269.2,96.89999999999998,73.6,55.29999999999998,225.4,361.6,444.7,130.8,248.5,186.6,0.0783100016941259,23.285614612593623,256.41739757969447,-87.97878329027937,38.04311309081623,7.73534090593107e-05,0.0004743823240834,0.000397028915024,23.20730461089949,False,True,False,496.3040379096543,intermediate
5,5,iso,control,terfenadine,172.5,195.9,214.1,269.3,96.8,73.4,55.20000000000002,228.3,366.9,451.6,131.2,284.2,154.3,0.0324897518879563,14.996292600300457,256.3936226484629,-87.97858929045704,38.03347262499678,7.74087941602333e-05,0.0004674552836586,0.0003900464894984,14.9638028484125,False,True,False,496.6105103089294,intermediate
6,6,iso,control,terfenadine,172.6,196.0,214.2,269.4,96.79999999999998,73.39999999999998,55.19999999999999,230.7,370.2,455.4,118.3,236.6,148.7,0.0457592315870545,21.06574164676958,256.38356384463253,-87.97858918037876,38.02322356365554,7.73997241949428e-05,0.0004628530939478,0.0003854533697529,21.019982415182525,False,True,False,496.7596840951255,intermediate
7,7,iso,control,terfenadine,172.0,195.4,213.7,269.0,97.0,73.6,55.30000000000001,220.8,354.4,435.9,134.6,279.6,156.5,0.101937418724561,31.443764797704976,256.4444744699394,-87.97890423697869,38.06209597761235,7.732388337054065e-05,0.0004847462815413,0.0004074223981707,31.341827378980412,False,True,False,495.91036319707945,intermediate
8,8,iso,control,terfenadine,174.2,197.6,215.6,270.4,96.2,72.79999999999998,54.79999999999998,250.1,408.0,504.9,156.4,312.7,179.0,0.1816401077228065,38.7032998333482,256.2107225286712,-87.97671624300028,37.96164347730142,7.791959762786005e-05,0.000421593136599,0.0003436735389712,38.52165972562539,False,False,False,498.54951766529314,intermediate
9,9,iso,control,terfenadine,174.7,198.0,215.9,270.6,95.90000000000003,72.60000000000002,54.70000000000002,254.0,416.9,517.1,149.7,310.9,141.7,0.1963011214573029,33.843473209163655,256.16353245205994,-87.97600722837245,37.94914949083631,7.814060764912086e-05,0.0004134817574099,0.0003353411497608,33.64717208770635,False,False,False,498.9230836965646,intermediate
10,10,iso,control,terfenadine,175.4,198.6,216.5,271.0,95.6,72.4,54.5,262.8,433.3,538.1,157.9,317.0,158.8,0.2916890748098817,45.32485856498343,256.087436482052,-87.9749232161385,37.92188060517745,7.848461837833434e-05,0.0003986273672357,0.0003201427488573,45.03316949017355,False,False,False,499.4789477739649,intermediate
11,11,iso,control,terfenadine,178.5,201.6,219.0,272.8,94.3,71.20000000000002,53.80000000000001,297.3,501.5,625.7,158.1,327.6,164.6,0.0933823434676663,29.015100811518625,255.69298059902604,-87.96678325703232,37.82450404831248,8.131893693937699e-05,0.0003485875414312,0.0002672686044918,28.92171846805096,False,False,False,501.1952418376317,intermediate
12,12,iso,control,terfenadine,174.3,197.6,215.6,270.4,96.09999999999997,72.79999999999998,54.79999999999998,251.6,409.3,506.1,134.7,272.0,159.6,0.0692104153164112,26.429355137526716,256.2107648932093,-87.97682766877391,37.95675420096113,7.788012888836514e-05,0.0004197792271274,0.000341899098239,26.3601447222103,False,False,False,498.5696045053671,intermediate
13,13,iso,control,terfenadine,171.5,194.9,213.3,268.7,97.2,73.79999999999998,55.39999999999998,214.9,343.1,421.1,113.8,232.8,138.4,0.0616730846127732,26.633174026860992,256.496361042096,-87.9792941293529,38.08192962156153,7.720627439084588e-05,0.0005010285296347,0.0004238222552438,26.571500942248218,True,True,False,495.1663138231166,intermediate
14,14,iso,control,terfenadine,174.9,198.2,216.1,270.8,95.9,72.60000000000002,54.70000000000002,258.6,424.1,525.7,161.1,325.8,178.6,0.2532667507034675,34.619544684029954,256.1368724359043,-87.97574489043943,37.93516834879418,7.821806250317378e-05,0.0004063898605474,0.0003281717980443,34.36627793332649,False,False,False,499.1448869316877,intermediate
15,15,iso,control,terfenadine,173.0,196.3,214.5,269.6,96.60000000000002,73.30000000000001,55.10000000000002,233.5,377.4,465.5,166.8,340.5,181.4,0.5817175516293432,40.1319882745555,256.34482815458995,-87.9781144861337,38.01692884558313,7.75321301012123e-05,0.0004548942940234,0.0003773621639221,39.55027072292616,False,True,False,497.186076802407,intermediate
16,16,iso,control,terfenadine,171.4,194.8,213.2,268.6,97.20000000000002,73.80000000000001,55.400000000000034,211.5,339.2,417.0,115.3,223.9,149.5,0.068867494448213,24.99815485817291,256.50598111827173,-87.97922813300671,38.10044757442876,7.723426222428136e-05,0.0005082403007133,0.0004310060384891,24.929287363724697,True,True,False,494.9730589916995,intermediate
17,17,iso,control,terfenadine,177.0,200.2,217.8,271.9,94.89999999999998,71.69999999999999,54.099999999999966,282.2,470.2,585.4,195.0,412.0,182.5,0.5038200959958028,29.18775539145833,255.89791113256328,-87.97153657221207,37.86791469226977,7.96330373533179e-05,0.0003695579607136,0.0002899249233602,28.68393529546253,False,False,False,500.4919325704441,intermediate
18,18,iso,control,terfenadine,173.6,197.0,215.0,270.0,96.4,73.0,55.0,241.1,392.6,485.6,130.6,257.4,153.0,0.0904776853576162,30.91251773319657,256.2737512704797,-87.9773428002253,37.99195730607012,7.774499584414587e-05,0.0004380641321927,0.0003603191363486,30.82204004783895,False,False,False,497.9356702932038,intermediate
19,19,iso,control,terfenadine,172.8,196.1,214.3,269.5,96.7,73.4,55.19999999999999,230.7,372.4,459.2,159.0,343.5,175.3,0.110301080105177,23.014679042665925,256.36572343487774,-87.97828552158673,38.027010024744975,7.749082655087542e-05,0.0004610340205995,0.0003835431940486,22.904377962560748,False,True,False,496.9345790705851,intermediate
20,20,iso,control,terfenadine,171.0,194.4,212.8,268.3,97.3,73.9,55.5,206.9,329.9,404.6,141.7,324.9,162.5,0.0462565334014089,13.122173512591392,256.55144231840274,-87.97957805676276,38.1146668268325,7.712942284356803e-05,0.0005228519523011,0.0004457225294575,13.075916979189984,True,True,False,494.2655169469704,intermediate
21,21,iso,control,terfenadine,173.8,197.1,215.2,270.1,96.3,73.00000000000003,54.900000000000034,240.5,394.6,489.3,133.9,259.4,165.4,0.0974710803232803,31.63954972515807,256.25396338175847,-87.97696671375074,37.994755350423496,7.786342670169166e-05,0.0004372602600286,0.0003593968333269,31.54207864483479,False,False,False,498.0881556665684,intermediate
