,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,gomez,terfenadine,208.5,245.1,272.6,349.2,140.7,104.1,76.59999999999997,471.2,690.8,810.0,186.5,434.3,285.5,0.4491654272383178,7.839331083880875,240.38608302973304,-87.73550386030813,39.68542459945709,9.939376282992648e-05,0.0001932111522619,9.381738943199032e-05,7.390165656642558,False,False,False,99.49981070628226,intermediate
1,1,iso,gomez,terfenadine,206.8,243.8,272.0,350.0,143.2,106.2,78.0,440.4,642.2,762.9,160.3,362.9,266.1,0.1055272862014576,2.937089611218334,241.1082182989355,-87.76210431313048,39.74496205757207,9.53777954073402e-05,0.0002058725595324,0.0001104947641251,2.8315623250168764,False,False,False,97.5620087988348,intermediate
2,2,iso,gomez,terfenadine,208.0,244.7,272.4,349.4,141.39999999999998,104.7,77.0,461.8,677.2,797.5,210.3,452.7,328.5,1.1108189955772183,14.532306720473674,240.61525585056253,-87.74393438144587,39.70057777824689,9.813260468722696e-05,0.0001967891613162,9.865655662897738e-05,13.421487724896457,False,False,False,99.11059541624005,intermediate
3,3,iso,gomez,terfenadine,207.8,244.6,272.4,349.6,141.8,105.00000000000004,77.20000000000005,459.3,671.9,792.2,158.5,349.5,291.3,0.1708859684946662,3.2542788680811987,240.72155496578975,-87.7479806816903,39.712801539544,9.753358569562674e-05,0.0001981246853632,0.0001005910996676,3.0833928995865323,False,False,False,98.55861273646822,intermediate
4,4,iso,gomez,terfenadine,207.6,244.5,272.4,349.7,142.1,105.2,77.30000000000001,455.9,665.5,785.8,188.9,417.7,304.1,0.5169893677344548,8.625946862997926,240.83593989211712,-87.75230758012508,39.72667044273834,9.688784079138074e-05,0.0001997522045319,0.0001028643637405,8.108957495263471,False,False,False,97.99584470483757,intermediate
5,5,iso,gomez,terfenadine,207.9,244.7,272.4,349.6,141.70000000000002,104.90000000000003,77.20000000000005,459.9,671.7,791.8,191.9,435.3,290.8,0.1825626334092388,3.653719595826976,240.7455675151662,-87.74897985583802,39.71944037816,9.739167452552486e-05,0.0001981443263417,0.0001007526518161,3.471156962417737,False,False,False,98.21894326152552,intermediate
6,6,iso,gomez,terfenadine,208.0,244.8,272.5,349.6,141.60000000000002,104.8,77.10000000000002,462.8,675.6,795.3,176.2,410.9,277.5,0.2843123715762674,5.750647221147268,240.69877824966156,-87.7473202827724,39.71904421561854,9.764721539094637e-05,0.0001971273880819,9.948017269099604e-05,5.466334849571001,False,False,False,98.16196487981482,intermediate
7,7,iso,gomez,terfenadine,207.3,244.2,272.2,349.8,142.5,105.60000000000002,77.60000000000002,449.7,656.6,777.2,197.4,448.9,285.5,0.8779068765366778,11.019750814701634,240.94334207583017,-87.75616890191415,39.732449059086704,9.629405341512398e-05,0.0002020809435897,0.0001057868901746,10.141843938164955,False,False,False,97.89483877390605,intermediate
8,8,iso,gomez,terfenadine,209.3,245.9,273.0,349.0,139.7,103.1,76.0,487.0,711.1,827.6,228.6,504.0,308.5,2.5534601950043028,18.38854005155865,240.01524340385845,-87.72198136570859,39.67046998758302,0.0001014009036901,0.0001878262201112,8.642531642108687e-05,15.835079856554344,False,False,False,99.63203696665944,intermediate
9,9,iso,gomez,terfenadine,209.6,246.0,273.1,348.8,139.20000000000002,102.8,75.69999999999999,491.5,717.8,833.4,223.7,516.7,282.2,2.210278011369946,14.325913651667925,239.83973015341897,-87.71544433495612,39.65733350221059,0.0001023479534249,0.0001860158758206,8.366792239570425e-05,12.115635640297976,False,False,False,100.07905778412557,intermediate
10,10,iso,gomez,terfenadine,210.1,246.4,273.3,348.6,138.50000000000003,102.20000000000002,75.30000000000001,500.3,729.2,842.8,233.1,526.5,292.6,3.79561613759856,22.18524440022332,239.5419739887578,-87.70450057692626,39.642353484190735,0.0001039280637071,0.0001828765477581,7.89484840509505e-05,18.38962826262476,False,False,False,100.4607877319068,intermediate
11,11,iso,gomez,terfenadine,211.6,247.6,273.9,347.9,136.29999999999998,100.29999999999998,74.0,528.0,762.5,868.7,239.7,533.9,307.8,2.208181881531229,12.746790021567024,238.30104867539245,-87.65940990939241,39.58368327382682,0.0001102428954193,0.00017285781905,6.261492363068521e-05,10.538608140035794,False,False,False,102.20567467986088,intermediate
12,12,iso,gomez,terfenadine,209.4,245.9,273.1,349.0,139.6,103.1,75.89999999999998,488.6,712.6,828.7,201.7,466.0,293.8,0.7362172289792795,8.844944843298997,240.0010316778641,-87.72152170875188,39.67359434538808,0.000101473604359,0.0001874515278646,8.59779235055401e-05,8.108727614319717,False,False,False,99.45906535932984,intermediate
13,13,iso,gomez,terfenadine,206.8,243.8,272.0,350.1,143.3,106.3,78.10000000000002,440.6,641.7,762.2,172.9,401.7,264.7,0.3821184504333746,7.275832223017264,241.12509828303092,-87.76280084107867,39.74958759103296,9.527673587277268e-05,0.0002059502823326,0.0001106735464599,6.89371377258389,False,False,False,97.3228008734712,intermediate
14,14,iso,gomez,terfenadine,209.8,246.2,273.2,348.8,139.0,102.60000000000002,75.60000000000002,496.1,723.2,837.8,238.0,522.2,308.5,3.052756611493906,17.375355665317418,239.72044610334237,-87.71111095376844,39.654422585165854,0.0001029806472519,0.0001845428696727,8.156222242079951e-05,14.322599053823511,False,False,False,100.06436004198348,intermediate
15,15,iso,gomez,terfenadine,208.3,245.0,272.6,349.4,141.09999999999997,104.39999999999998,76.79999999999995,467.1,683.0,802.5,240.4,517.5,306.8,4.160600185115629,22.07445043991218,240.55948694506824,-87.74207920150324,39.70397175599176,9.842656332476669e-05,0.0001952290236105,9.68024602858274e-05,17.91385025479655,False,False,False,98.72261006259352,intermediate
16,16,iso,gomez,terfenadine,206.6,243.6,271.9,350.1,143.50000000000003,106.50000000000004,78.20000000000005,436.6,636.4,757.1,171.7,396.0,267.9,0.438194867378012,7.875092313644287,241.1654751225507,-87.76412326741647,39.74898408600981,9.50619223435474e-05,0.0002074176508074,0.0001123557284638,7.436897446266275,False,False,False,97.47894962247672,intermediate
17,17,iso,gomez,terfenadine,211.0,247.2,273.7,348.2,137.2,101.0,74.5,517.3,749.7,859.0,274.4,561.0,322.1,4.85316204374344,16.982102765671193,238.87294847666848,-87.6800887465994,39.61179191343391,0.000107386833425,0.0001769218774845,6.953504405957353e-05,12.128940721927751,False,False,False,101.28542362151222,intermediate
18,18,iso,gomez,terfenadine,208.8,245.4,272.8,349.2,140.39999999999998,103.79999999999998,76.39999999999998,476.9,697.8,816.0,195.9,461.5,282.7,1.0082530802368994,11.127060204382468,240.2814265306572,-87.73175595473073,39.68333505802583,9.995870045833484e-05,0.0001913775417242,9.141884126592876e-05,10.118807124145569,False,False,False,99.37323302620432,intermediate
19,19,iso,gomez,terfenadine,208.1,244.8,272.5,349.5,141.4,104.7,77.0,463.5,677.7,797.6,228.7,497.2,310.7,1.1235136587482233,9.179518082234898,240.64344634354936,-87.74516455493526,39.70943181335943,9.79626021530377e-05,0.0001966074520839,9.86448499309499e-05,8.056004423486675,False,False,False,98.5800466401654,intermediate
20,20,iso,gomez,terfenadine,206.1,243.3,271.8,350.3,144.20000000000002,107.0,78.5,428.6,622.7,742.6,200.5,448.1,294.6,0.2028255979518981,3.558723537790148,241.3088607119512,-87.769297343965,39.76516345248651,9.42590590158942e-05,0.0002110393527902,0.0001167802937743,3.35589793983825,False,False,False,96.87945593076604,intermediate
21,21,iso,gomez,terfenadine,208.8,245.4,272.8,349.0,140.2,103.6,76.19999999999999,477.3,699.5,817.8,197.5,457.6,292.2,0.9979382360423772,11.779183700812048,240.2201673985558,-87.72938077254545,39.67487333332446,0.00010030044448,0.0001909254029191,9.062495843908417e-05,10.78124546476967,False,False,False,99.78159957747089,intermediate
22,22,iso,gomez,terfenadine,205.4,242.7,271.5,350.5,145.1,107.8,79.0,416.4,603.2,721.8,154.2,345.5,277.9,0.179134908110535,3.874633739912468,241.4646959195345,-87.77462836501697,39.77977534533158,9.34074951752991e-05,0.0002164755424532,0.0001230680472779,3.695498831801933,False,False,False,96.465223308119,intermediate
23,23,iso,gomez,terfenadine,209.4,245.9,273.0,348.9,139.49999999999997,102.99999999999996,75.89999999999998,488.3,713.1,829.3,218.8,483.2,314.5,0.8938024629356408,9.461175115202906,239.96266558487693,-87.72001529491536,39.6660738373831,0.0001016858566562,0.0001872917108732,8.560585421702725e-05,8.567372652267265,False,False,False,99.78919156764124,intermediate
24,24,iso,gomez,terfenadine,205.9,243.1,271.6,350.3,144.4,107.20000000000002,78.69999999999999,424.2,616.0,735.6,209.2,468.5,278.5,1.5657797878252169,11.599385382456836,241.3622687099509,-87.7711137824613,39.7690065523454,9.396828629145592e-05,0.0002128962100971,0.0001189279238056,10.033605594631618,False,False,False,96.80715334495972,intermediate
25,25,iso,gomez,terfenadine,206.8,243.8,272.0,350.1,143.3,106.3,78.10000000000002,440.3,641.3,761.8,184.3,423.3,273.1,0.3706449306423536,5.886926272088123,241.1280467949432,-87.76289663310786,39.74946138999974,9.526111285570476e-05,0.000206059095527,0.0001107979826713,5.516281341445769,False,False,False,97.33720393165656,intermediate
26,26,iso,gomez,terfenadine,207.9,244.7,272.4,349.5,141.6,104.8,77.10000000000002,461.1,674.7,794.8,152.3,343.1,267.2,0.0856540321339612,2.038451467434993,240.6807095236008,-87.74648224292037,39.7099312205267,9.775994276134196e-05,0.0001974122488197,9.96523060583818e-05,1.952797435301032,False,False,False,98.63760450265843,intermediate
27,27,iso,gomez,terfenadine,207.2,244.1,272.2,349.8,142.60000000000002,105.70000000000002,77.60000000000002,448.0,654.3,775.0,160.3,374.9,261.9,0.2228018361529787,6.256306106256608,240.96764019147275,-87.75701991871954,39.73319053324143,9.616112266468768e-05,0.0002027059645042,0.0001065448418395,6.03350427010363,False,False,False,97.91321649888906,intermediate
28,28,iso,gomez,terfenadine,207.9,244.7,272.4,349.6,141.70000000000002,104.90000000000003,77.20000000000005,460.9,673.8,793.9,172.8,402.5,276.6,0.341464953773205,7.914368785353291,240.70416016364948,-87.74740000274045,39.71383616086007,9.762579455666736e-05,0.0001976269505941,0.0001000011560375,7.572903831580087,False,False,False,98.45231510018098,intermediate
29,29,iso,gomez,terfenadine,208.5,245.1,272.6,349.2,140.7,104.1,76.59999999999997,471.1,689.9,809.1,189.6,450.5,276.0,0.5976137420860992,7.603041819527897,240.41561283779544,-87.73665746742873,39.689623363234126,9.922714226266548e-05,0.0001934340838379,9.420694157526646e-05,7.005428077441798,False,False,False,99.28524235950498,intermediate
30,30,iso,gomez,terfenadine,207.2,244.2,272.2,349.8,142.60000000000002,105.60000000000002,77.60000000000002,448.7,656.2,777.1,184.1,421.0,283.5,0.4465422536795663,7.591945748341074,240.92936964238456,-87.7555355313594,39.72714860359133,9.638147078928398e-05,0.0002022305451816,0.0001058490743923,7.145403494661508,False,False,False,98.20971629450943,intermediate
31,31,iso,gomez,terfenadine,206.1,243.3,271.7,350.2,144.1,106.89999999999998,78.5,428.9,625.0,745.5,188.6,423.9,283.9,0.6995566162976068,9.944959275623146,241.26588613931136,-87.7675875560988,39.75574730543762,9.451295242813528e-05,0.0002105332677016,0.0001160203152735,9.24540265932554,False,False,False,97.3945171287548,intermediate
32,32,iso,gomez,terfenadine,208.5,245.2,272.7,349.4,140.89999999999998,104.2,76.69999999999999,472.1,689.7,808.5,163.2,378.1,274.6,0.1545515201370822,3.7213168978056217,240.45831640521448,-87.73840514011788,39.70016909420284,9.898054352292632e-05,0.000193491541452,9.451099792911149e-05,3.5667653776685397,False,False,False,98.75173370984216,intermediate
33,33,iso,gomez,terfenadine,204.9,242.3,271.3,350.6,145.70000000000002,108.3,79.30000000000001,407.3,588.5,705.7,142.4,318.2,253.9,0.0501539695831712,1.2187552514068407,241.56346006221085,-87.77786875645752,39.790142017658816,9.287868582950792e-05,0.0002207534744019,0.0001278747885724,1.1686012818236695,False,False,False,96.1802947986414,intermediate
