,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,dyn,control,vandetanib,185.4,213.0,235.3,298.0,112.6,85.0,62.69999999999999,182.2,286.0,348.3,160.5,306.2,119.8,0.05218389685592614,2.9438643924841092,256.67087613204416,-87.97801747299123,38.870637652346765,7.769524801845527e-05,0.0006686247265887698,0.0005909294785703145,2.891680495628183,True,True,False,411.65768469791914
1,dyn,control,vandetanib,184.9,212.5,234.7,297.1,112.20000000000002,84.60000000000002,62.400000000000034,174.5,273.3,332.6,138.0,268.1,111.4,0.022489805432549935,2.479133285485321,256.72100200724026,-87.97807030405833,38.90801670206226,7.776394163927786e-05,0.0007039474578255792,0.0006261835161863014,2.4566434800527714,True,True,False,410.6636880958493
2,dyn,control,vandetanib,185.3,212.9,235.3,298.0,112.69999999999999,85.1,62.69999999999999,185.7,287.2,348.2,191.7,363.5,164.5,0.10992686062129478,3.122663811484504,256.6905787386489,-87.97944528874494,38.891507678241815,7.694478759482059e-05,0.0006622986572155411,0.0005853538696207205,3.012736950863209,True,True,False,411.12060159259414
3,dyn,control,vandetanib,185.3,212.9,235.2,297.9,112.59999999999997,84.99999999999997,62.69999999999999,186.4,286.5,347.7,144.1,294.6,135.3,0.022861459513958453,2.460487878615546,256.6845560357855,-87.97831035501942,38.85418219464407,7.761429221489209e-05,0.0006593205386875328,0.0005817062464726407,2.437626419101588,True,True,False,411.31843511111015
4,dyn,control,vandetanib,185.2,212.7,235.1,297.7,112.5,85.0,62.599999999999994,182.9,281.5,340.0,155.6,284.1,149.2,0.06743694134916123,2.8079382593853515,256.71084526142096,-87.97845830056636,38.875594630860924,7.757624251887874e-05,0.0006775123083334812,0.0005999360658146024,2.7405013180361903,True,True,False,410.6387267646851
5,dyn,control,vandetanib,185.3,212.8,235.2,297.9,112.59999999999997,85.09999999999997,62.69999999999999,183.3,285.0,346.5,171.6,355.0,124.1,0.028707993911321738,2.3843232575325253,256.6952113368695,-87.97883130960702,38.85516977838405,7.732910371922565e-05,0.0006698430770285036,0.000592513973309278,2.3556152636212033,True,True,False,411.2171722032956
6,dyn,control,vandetanib,185.2,212.7,235.1,297.6,112.40000000000003,84.90000000000003,62.50000000000003,180.7,280.7,340.2,143.1,268.5,120.3,0.041595756107636765,2.713382296518555,256.7008968630254,-87.97819019172981,38.85983063563008,7.770147204144747e-05,0.0006811321902025591,0.0006034307181611116,2.6717865404109182,True,True,False,411.05696943431496
7,dyn,control,vandetanib,184.9,212.5,234.8,297.3,112.4,84.80000000000001,62.5,175.3,275.0,334.4,184.9,348.2,128.3,0.08540806029443979,3.0894286228958316,256.7282431874674,-87.97868091787811,38.92296115226988,7.74100450035905e-05,0.0007041474073721644,0.000626737362368574,3.004020562601392,True,True,False,410.3911491681779
8,dyn,control,vandetanib,185.5,213.1,235.5,298.4,112.89999999999998,85.29999999999998,62.89999999999998,187.6,291.9,353.8,188.6,338.6,140.3,0.12469234800415067,3.207726198507058,256.66813338013094,-87.97874520075132,38.84346744178163,7.728812868328157e-05,0.0006538632859090828,0.0005765751572258012,3.083033850502907,True,True,False,411.65783840921324
9,dyn,control,vandetanib,185.6,213.2,235.5,298.4,112.79999999999998,85.19999999999999,62.89999999999998,184.5,291.1,354.3,176.1,316.4,112.7,0.1179573846050885,3.092012358254004,256.6464075080343,-87.97791581437188,38.86256753210798,7.770550112236016e-05,0.0006574875708160392,0.000579782069693679,2.9740549736489155,True,True,False,412.1583002968217
