,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,iso,control,vandetanib,190.3,218.0,239.7,302.7,112.39999999999998,84.69999999999999,63.0,236.7,390.8,483.7,127.5,261.9,153.1,0.06337689491003375,35.99809625452079,256.05466549321415,-87.97336099310253,38.647426099359855,7.89474582860226e-05,0.0004798331203834761,0.0004008856620974535,35.93471935961075,False,False,False,413.71760164792954
1,iso,control,vandetanib,188.1,215.9,237.9,301.2,113.1,85.29999999999998,63.29999999999998,215.0,349.3,428.6,109.1,227.0,136.0,0.02424475589719248,19.553037768663323,256.25653953542803,-87.97527250075021,38.74428586385751,7.840819102575001e-05,0.0005380942608331556,0.0004596860698074056,19.52879301276613,True,True,False,411.16047230004597
2,iso,control,vandetanib,189.6,217.4,239.2,302.3,112.70000000000002,84.9,63.10000000000002,228.9,377.4,466.5,153.0,297.5,211.3,0.15654448690397252,39.820690671397664,256.11432119000625,-87.97394447216841,38.68276882470833,7.879182129985873e-05,0.000497726965328215,0.0004189351440283563,39.66414618449369,False,True,False,413.0286975800683
3,iso,control,vandetanib,189.3,217.0,238.9,302.1,112.80000000000001,85.10000000000002,63.20000000000002,228.2,373.0,459.4,118.8,240.6,174.6,0.026054046241054098,20.957741350862463,256.1472153529574,-87.97439977643536,38.68305594276444,7.866034650763841e-05,0.0005020650673567707,0.00042340472084913223,20.93168730462141,False,True,False,412.67387259581375
4,iso,control,vandetanib,189.0,216.7,238.6,301.9,112.89999999999998,85.19999999999999,63.29999999999998,226.4,367.4,451.2,136.4,256.1,190.2,0.08119059400162752,27.117686319555066,256.18211748246125,-87.97483835118734,38.68621062908757,7.853013057130326e-05,0.0005089570830170415,0.0004304269524457382,27.03649572555344,False,True,False,412.2639870192042
5,iso,control,vandetanib,189.2,216.9,238.8,302.1,112.90000000000003,85.20000000000002,63.30000000000001,229.3,372.7,458.2,133.9,288.3,156.9,0.03434881085364615,18.350704364026075,256.1575078622757,-87.97462669344745,38.67364744943429,7.858977363570968e-05,0.0005014339108995855,0.0004228441372638758,18.31635555317243,False,True,False,412.5866109183678
6,iso,control,vandetanib,189.4,217.1,238.9,302.2,112.79999999999998,85.1,63.29999999999998,231.7,376.0,462.0,122.2,243.1,151.1,0.047547641610732556,24.969986016300314,256.1472943872288,-87.97461803251537,38.66041988099665,7.858335420104209e-05,0.0004964881149334599,0.0004179047607324178,24.92243837468958,False,True,False,412.7408677329328
7,iso,control,vandetanib,188.6,216.4,238.3,301.6,113.00000000000003,85.20000000000002,63.30000000000001,221.7,360.2,442.4,138.4,285.4,158.6,0.10545886647856825,36.40441620422359,256.2099105188601,-87.97497875608657,38.710501506215216,7.849313758052484e-05,0.0005201522756668645,0.0004416591380863397,36.298957337745016,False,True,False,411.85730448628806
8,iso,control,vandetanib,191.3,218.9,240.4,303.3,112.0,84.4,62.900000000000006,251.4,413.4,511.2,163.1,321.8,180.8,0.195400391282319,43.488044057387086,255.96681780205995,-87.97256757587942,38.581913301053454,7.916287354073353e-05,0.0004517302253860388,0.00037256735184530525,43.292643666104766,False,False,False,414.65626188846556
9,iso,control,vandetanib,191.8,219.4,240.8,303.6,111.80000000000001,84.20000000000002,62.80000000000001,255.4,422.2,523.3,154.4,319.1,142.4,0.20952517297800105,38.56410530747497,255.91696908150007,-87.9717932106937,38.56711544719379,7.940562124591615e-05,0.00044290762569159584,0.0003635020044456797,38.35458013449696,False,False,False,415.0610586935571
10,iso,control,vandetanib,192.6,220.1,241.5,304.0,111.4,83.9,62.5,264.2,438.4,544.2,164.9,327.3,160.0,0.3130849856699026,50.5769175208463,255.83665493738704,-87.97058599852953,38.532925397501096,7.979180163313361e-05,0.00042687935933516136,0.0003470875577020277,50.2638325351764,False,False,False,415.6653384701349
11,iso,control,vandetanib,196.2,223.4,244.2,305.8,109.60000000000002,82.4,61.60000000000002,297.9,504.7,630.0,163.6,336.2,165.8,0.09980957419687515,34.10392069001562,255.41310393509855,-87.96153063593472,38.41522295744775,8.293185468813851e-05,0.0003729738865937649,0.0002900420319056264,34.004111115818745,False,False,False,417.5457294385224
12,iso,control,vandetanib,191.3,218.9,240.5,303.3,112.0,84.4,62.80000000000001,252.9,414.7,512.4,139.3,279.2,161.9,0.07220159313437824,31.06837272277581,255.9670677966469,-87.97267825800147,38.57462788162458,7.912421416543397e-05,0.00044981992919757485,0.0003706957150321409,30.996171129641432,False,False,False,414.6781283312098
13,iso,control,vandetanib,188.1,215.8,237.9,301.2,113.1,85.39999999999998,63.29999999999998,215.6,349.0,427.7,116.7,238.2,140.5,0.06369486110141469,31.471682026749853,256.263599121521,-87.97541034028153,38.73697921108551,7.836253737070504e-05,0.0005378771868404902,0.0004595146494697852,31.40798716564844,True,True,False,411.08323202773647
14,iso,control,vandetanib,192.1,219.6,241.1,303.8,111.70000000000002,84.20000000000002,62.70000000000002,260.0,429.3,531.9,167.6,334.7,180.3,0.2715499254792862,38.870595038850944,255.8890872478896,-87.97148952399048,38.54849111766502,7.949777334936854e-05,0.00043530013234773575,0.0003558023589983672,38.59904511337166,False,False,False,415.3023445117642
15,iso,control,vandetanib,189.8,217.5,239.3,302.4,112.59999999999997,84.89999999999998,63.099999999999966,234.6,383.1,472.0,173.0,348.5,183.1,0.6137062382986539,44.340508479327355,256.10672012051,-87.9741120917917,38.65224093545696,7.872552993254103e-05,0.00048777207866122156,0.00040904654872868054,43.7268022410287,False,True,False,413.1972420739379
16,iso,control,vandetanib,187.9,215.7,237.8,301.1,113.20000000000002,85.40000000000003,63.30000000000001,212.2,345.1,423.5,119.3,230.6,151.9,0.07103258951493911,29.031685512839594,256.2730841973081,-87.97535371170554,38.75965924784586,7.83868606678917e-05,0.0005455911261323939,0.0004672042654645022,28.960652923324655,True,True,False,410.8951892325674
17,iso,control,vandetanib,194.5,221.8,242.9,305.0,110.5,83.19999999999999,62.099999999999994,283.3,474.5,590.6,201.5,420.6,182.8,0.5468885437048104,32.71306443490049,255.63442331271943,-87.96680640000191,38.46531537897555,8.107378211525201e-05,0.00039555672938460087,0.00031448294726934883,32.16617589119568,False,False,False,416.77897569204526
18,iso,control,vandetanib,190.6,218.2,239.9,302.9,112.29999999999998,84.69999999999999,62.99999999999997,242.3,398.1,492.0,135.5,265.6,154.8,0.09368498577367002,35.70712898991399,256.0325163599167,-87.97327023335147,38.6206969037412,7.896176229002287e-05,0.0004694911149596365,0.0003905293526696136,35.61344400414032,False,False,False,413.9984283336901
19,iso,control,vandetanib,189.5,217.2,239.1,302.2,112.69999999999999,85.0,63.099999999999994,231.8,378.1,465.7,162.9,348.5,177.3,0.12043449398693717,26.79813748228994,256.12838834761357,-87.97430116742379,38.66513820637933,7.867805244801561e-05,0.0004944185081703061,0.0004157404557222905,26.677702988303,False,True,False,412.93171894993606
20,iso,control,vandetanib,187.4,215.2,237.4,300.7,113.29999999999998,85.5,63.29999999999998,207.5,335.8,411.1,144.0,327.8,165.3,0.05044534553865978,15.864797645444257,256.32016386791094,-87.97574281571346,38.779591043679986,7.827052596436566e-05,0.0005615611399524144,0.0004832906139880487,15.814352299905597,True,True,False,410.1659413439239
21,iso,control,vandetanib,190.8,218.4,240.1,303.0,112.19999999999999,84.6,62.900000000000006,241.8,400.1,495.7,139.6,268.0,167.6,0.1011844631385129,36.46108053207726,256.0113878959048,-87.97287202899875,38.624723521147544,7.908687902391593e-05,0.00046846444369019345,0.0003893775646662775,36.359896068938745,False,False,False,414.16674232272044
22,iso,control,vandetanib,186.9,214.7,236.9,300.1,113.20000000000002,85.40000000000003,63.20000000000002,199.4,323.2,395.4,115.4,252.6,169.8,0.03860188097105698,24.75118521051252,256.37362428572436,-87.9760214724164,38.82546317430185,7.819844557937778e-05,0.0005869769301621855,0.0005087784845828077,24.712583329541463,True,True,False,409.23224372911886
23,iso,control,vandetanib,191.5,219.0,240.6,303.4,111.89999999999998,84.39999999999998,62.79999999999998,252.5,415.9,514.8,153.8,316.0,184.8,0.0906204259473511,30.25079063961859,255.95161499953974,-87.97232826498784,38.57810746762405,7.923765603166449e-05,0.00044916602410178516,0.00036992836807012066,30.16017021367124,False,False,False,414.7819977425706
24,iso,control,vandetanib,187.3,215.1,237.2,300.5,113.19999999999999,85.4,63.30000000000001,204.4,331.3,405.7,148.6,308.4,155.8,0.30799787399439843,28.6566666020235,256.33724562887704,-87.97580654758143,38.798214056910666,7.82563433855831e-05,0.0005704789377274889,0.0004922225943419058,28.3486687280291,True,True,False,409.8644142274818
25,iso,control,vandetanib,188.0,215.8,237.9,301.2,113.19999999999999,85.39999999999998,63.29999999999998,215.4,348.7,427.4,127.0,264.3,143.0,0.0536526137529454,23.991737959850603,256.2642443837687,-87.97540424657934,38.73871311160415,7.8364928103317e-05,0.0005384296489607143,0.00046006472085739726,23.938085346097658,True,True,False,411.06990207089257
26,iso,control,vandetanib,189.4,217.1,239.0,302.2,112.79999999999998,85.1,63.19999999999999,229.6,375.4,462.6,102.8,210.1,138.4,0.014858159827464659,16.096982798631178,256.13641585564653,-87.9743079163772,38.676585617805074,7.868281300064455e-05,0.0004986531581569818,0.00041997034515633725,16.082124638803712,False,True,False,412.811623861307
27,iso,control,vandetanib,188.6,216.3,238.3,301.6,113.00000000000003,85.30000000000001,63.30000000000001,220.3,358.4,440.3,109.6,216.7,137.4,0.05094008650088823,32.51483116526646,256.21587439576234,-87.97498645180464,38.718512355673454,7.849280298969415e-05,0.0005233182610916731,0.0004448254581019789,32.46389107876557,True,True,False,411.76078451493936
28,iso,control,vandetanib,189.4,217.1,238.9,302.1,112.70000000000002,85.00000000000003,63.20000000000002,229.8,374.6,461.1,119.6,239.9,148.7,0.06416000012429979,38.74701035596708,256.1445379063414,-87.97444513171986,38.67393912404818,7.864195118537296e-05,0.0004992560568270683,0.0004206141056416954,38.68285035584278,False,True,False,412.73039196225875
29,iso,control,vandetanib,190.2,217.9,239.6,302.7,112.5,84.79999999999998,63.099999999999994,237.1,390.0,482.0,127.6,259.9,143.0,0.062220565626196926,29.13251927030121,256.0648945478302,-87.97354948243141,38.64456873895685,7.888907539972888e-05,0.00048003283472020943,0.00040114375932048053,29.07029870467501,False,False,False,413.63149075812726
30,iso,control,vandetanib,188.7,216.4,238.4,301.6,112.90000000000003,85.20000000000002,63.20000000000002,220.2,359.8,442.8,128.9,258.9,163.0,0.06887824219259747,28.229776673862858,256.2026984334415,-87.97479511653283,38.722566726821306,7.855535817022625e-05,0.0005220666439518115,0.0004435112857815853,28.16089843167026,False,True,False,411.9148017796168
31,iso,control,vandetanib,187.6,215.4,237.5,300.8,113.20000000000002,85.4,63.30000000000001,206.2,336.9,413.7,134.5,270.2,167.1,0.10076888010682876,30.785531405529852,256.30278410333386,-87.9754621663144,38.793894554073,7.836209710049172e-05,0.0005616257935137846,0.00048326369641329286,30.68476252542302,True,True,False,410.3912418656394
32,iso,control,vandetanib,190.1,217.7,239.5,302.6,112.50000000000003,84.90000000000003,63.10000000000002,238.8,389.4,479.7,110.4,224.3,143.1,0.02713803778617301,24.139446643316976,256.0831001256979,-87.97396424968282,38.63219638044288,7.87572576945371e-05,0.00047925505903910064,0.00040049780134456355,24.112308605530803,False,False,False,413.49533553552226
33,iso,control,vandetanib,186.5,214.3,236.5,299.7,113.19999999999999,85.39999999999998,63.19999999999999,193.3,314.1,384.2,99.2,216.7,136.1,0.010909422995751759,12.15824701225466,256.41151779626887,-87.97619803648861,38.862231241158874,7.815631434542582e-05,0.0006072787992438977,0.0005291224848984719,12.147337589258909,True,True,False,408.53503609774987
34,iso,control,vandetanib,191.9,219.5,240.9,303.7,111.79999999999998,84.19999999999999,62.79999999999998,258.1,425.5,526.9,174.2,354.4,152.3,0.5866253819173044,42.767556154997465,255.90889590770362,-87.97179508158261,38.555644104562546,7.940056128426464e-05,0.0004389939254202712,0.00035959336413600657,42.18093077308016,False,False,False,415.15117876579063
35,iso,control,vandetanib,187.4,215.2,237.3,300.6,113.20000000000002,85.40000000000003,63.30000000000001,205.0,333.7,409.2,112.7,226.1,149.5,0.04635149279436559,25.415646714368616,256.3211823540055,-87.97563037700866,38.79894799816314,7.831106055707266e-05,0.0005668856670011169,0.0004885746064440443,25.36929522157425,True,True,False,410.10741212440854
36,iso,control,vandetanib,189.2,216.9,238.8,302.0,112.80000000000001,85.1,63.19999999999999,228.3,371.5,456.9,110.3,214.6,146.0,0.030908975234673872,20.990708129580035,256.1601681751681,-87.97460460084706,38.67982584460289,7.86000673470515e-05,0.0005034003552063482,0.00042480028785929665,20.95979915434536,False,True,False,412.53819531180744
37,iso,control,vandetanib,192.8,220.2,241.6,304.1,111.30000000000001,83.90000000000003,62.50000000000003,264.7,440.1,546.7,144.6,288.2,170.4,0.08906596257575487,38.08613255331303,255.82319329141723,-87.97030709767688,38.531321360390315,7.988461068585088e-05,0.00042552763579988413,0.0003456430251140332,37.997066590737276,False,False,False,415.7453253641169
38,iso,control,vandetanib,187.5,215.3,237.4,300.7,113.19999999999999,85.39999999999998,63.29999999999998,208.9,337.4,412.8,146.0,310.2,188.3,0.15843551441854362,38.24148624675492,256.3161128170387,-87.97577025390652,38.769173737140896,7.825893729968646e-05,0.0005580819663998751,0.0004798230291001887,38.083050732336375,True,True,False,410.2508171210137
39,iso,control,vandetanib,189.2,216.9,238.8,302.0,112.80000000000001,85.1,63.19999999999999,228.0,371.5,457.1,125.3,259.4,164.4,0.033490607924450175,19.37259601257871,256.15806864946455,-87.97455750346045,38.68191258156259,7.861484763974452e-05,0.0005035551259861559,0.0004249402783464114,19.339105404654262,False,True,False,412.5558028303735
