,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,iso,gomez,vandetanib,227.1,271.4,307.0,400.5,173.4,129.10000000000002,93.5,491.3,706.7,821.6,196.8,441.1,294.2,0.5421186595202319,9.584673891833068,239.5447297623269,-87.71346811166693,40.367153913292306,0.00010285781317194248,0.00020179632338783736,9.893851021589488e-05,9.042555232312836,False,False,False,-23.513735579320475
1,iso,gomez,vandetanib,225.2,270.1,306.7,402.1,176.90000000000003,132.0,95.40000000000003,460.2,659.7,776.9,174.2,378.8,270.2,0.1157016594316121,3.6520965540013894,240.38565518445438,-87.74397551390217,40.42709175308187,9.837033727870468e-05,0.00021558627800081652,0.00011721594072211184,3.5363948945697774,False,False,False,-26.280357903563484
2,iso,gomez,vandetanib,226.6,271.0,306.9,401.0,174.4,130.0,94.10000000000002,482.0,693.6,809.8,219.5,457.9,340.5,1.3394775176533986,17.380757337538906,239.81042416408522,-87.7230786665398,40.38086307701226,0.00010145750425155241,0.00020566115891148986,0.00010420365465993746,16.041279819885506,False,False,False,-24.12618512550604
3,iso,gomez,vandetanib,226.4,270.9,306.9,401.2,174.79999999999998,130.3,94.30000000000001,479.4,688.6,804.9,169.5,355.3,301.2,0.19189454067154618,4.212578998063597,239.93425431130575,-87.7276896575459,40.3961881834846,0.00010079133658643798,0.0002070923428619359,0.00010630100627549791,4.020684457392051,False,False,False,-24.79978022574648
4,iso,gomez,vandetanib,226.2,270.8,306.9,401.5,175.3,130.7,94.60000000000002,475.9,682.4,798.8,199.7,425.6,314.8,0.6105619827188332,10.328000177927958,240.0677855976052,-87.7326406486089,40.4131752974987,0.00010007050067422518,0.00020884649722944945,0.00010877599655522428,9.717438195209125,False,False,False,-25.501277129730795
5,iso,gomez,vandetanib,226.4,270.9,306.9,401.3,174.9,130.40000000000003,94.40000000000003,480.0,688.4,804.5,200.2,440.7,299.9,0.22191099816418103,4.526009403323859,239.96241154405016,-87.72881898168272,40.40606417771827,0.00010063412997410669,0.00020709613925791432,0.00010646200928380763,4.304098405159678,False,False,False,-25.17385755737383
6,iso,gomez,vandetanib,226.6,271.1,307.0,401.2,174.6,130.09999999999997,94.19999999999999,483.0,692.2,807.9,188.7,420.9,284.8,0.33825452101455733,6.959179257879208,239.90813739604084,-87.7269087261312,40.40775917358886,0.00010092000996024345,0.00020598194314794943,0.00010506193318770599,6.6209247368646515,False,False,False,-25.18421871311334
7,iso,gomez,vandetanib,225.8,270.5,306.8,401.7,175.89999999999998,131.2,94.89999999999998,469.8,673.7,790.7,208.3,456.9,292.9,1.0142515494509805,12.970408856995805,240.19297175349539,-87.73709955969974,40.41662364910399,9.940339616827883e-05,0.0002114045968352931,0.00011200120066701427,11.956157307544824,False,False,False,-25.729154298705886
8,iso,gomez,vandetanib,228.1,272.1,307.2,400.0,171.9,127.89999999999998,92.80000000000001,506.9,726.0,838.0,238.6,508.0,318.7,2.9848918414413643,21.2005438279677,239.117797407518,-87.69817366911035,40.358855033181285,0.00010506810037987834,0.000196026344354812,9.095824397493366e-05,18.215651986526336,False,False,False,-23.08363002005342
9,iso,gomez,vandetanib,228.3,272.3,307.3,399.7,171.39999999999998,127.39999999999998,92.39999999999998,511.3,732.2,843.3,234.4,520.8,291.2,2.5426192830792584,16.41145789679664,238.91616095013555,-87.69084207059068,40.34434862213655,0.00010610367739797476,0.00019412313309884896,8.80194557008742e-05,13.868838613717383,False,False,False,-22.49860531158439
10,iso,gomez,vandetanib,228.9,272.7,307.4,399.3,170.4,126.60000000000002,91.90000000000003,519.8,742.8,851.9,244.5,530.4,302.4,4.3962247883579275,25.238062707268952,238.57616205058466,-87.6786357956243,40.33080665093314,0.00010782131671531948,0.00019082704697722725,8.300573026190777e-05,20.841837918911025,False,False,False,-21.914044592723997
11,iso,gomez,vandetanib,230.6,274.0,307.7,397.8,167.20000000000002,123.80000000000001,90.10000000000002,545.8,773.2,875.2,246.5,532.1,320.0,2.677501754858818,15.207366534915943,237.1777759273929,-87.62918300841191,40.274262471929354,0.00011457764522184753,0.0001805013902610368,6.592374503918926e-05,12.529864780057125,False,False,False,-19.48424106137227
12,iso,gomez,vandetanib,228.1,272.2,307.3,400.0,171.9,127.80000000000001,92.69999999999999,508.4,727.4,839.0,211.5,470.9,304.0,0.8852636160965489,10.61243507005037,239.10171190288023,-87.69765152482869,40.36419481169599,0.00010514794558211174,0.0001956182608781277,9.047031529601595e-05,9.727171453953822,False,False,False,-23.252063821726196
13,iso,gomez,vandetanib,225.2,270.1,306.7,402.2,177.0,132.09999999999997,95.5,460.5,659.2,776.3,187.6,414.7,268.6,0.4406893802086302,8.676783989154718,240.40554388685234,-87.74476914227276,40.43400600321511,9.825746093260306e-05,0.00021565998143307908,0.00011740252050047602,8.236094608946088,False,False,False,-26.548057616881344
14,iso,gomez,vandetanib,228.6,272.6,307.3,399.5,170.9,126.89999999999998,92.19999999999999,515.7,737.3,847.4,247.2,524.2,319.0,3.5307665489259557,19.8502499006786,238.7800331528866,-87.68599688229739,40.343850283502455,0.00010679261658475564,0.0001925642081724907,8.577159158773505e-05,16.319483351752645,False,False,False,-22.43549495309606
