,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,control,verapamil,171.0,195.4,215.8,273.8,102.8,78.4,58.0,186.5,286.7,348.2,141.7,282.6,112.7,0.048661862898716,2.210806332034182,257.18103633785535,-87.9898212108659,36.967798335859975,7.533878251359341e-05,0.0005056189244964,0.0004302801419828,2.1621444691354665,True,True,False,494.4963683385735,low/none
1,1,dyn,control,verapamil,170.8,195.2,215.5,273.2,102.39999999999998,78.0,57.69999999999999,178.1,275.0,335.2,123.2,249.1,106.2,0.0208527306592915,1.7219121819544374,257.21788838428193,-87.98977275239366,36.98416518804218,7.541468888003518e-05,0.0005283561648138,0.0004529414759338,1.7010594512951458,True,True,False,494.2717311427327,low/none
2,2,dyn,control,verapamil,171.0,195.4,215.8,273.9,102.89999999999998,78.49999999999997,58.099999999999966,189.8,286.8,347.3,168.1,332.9,152.2,0.1036828670371187,2.554041956338619,257.198793168513,-87.99049216968078,36.984181531414606,7.493204700483768e-05,0.0005033122460924,0.0004283801990876,2.4503590893015006,True,True,False,493.8667397757822,low/none
3,3,dyn,control,verapamil,171.1,195.4,215.8,273.8,102.70000000000002,78.4,58.0,191.2,288.8,350.3,127.7,274.2,123.6,0.0208332627897869,1.677047495459915,257.18595997261684,-87.99003319603847,36.96834162878607,7.528497339700585e-05,0.0004950091530694,0.0004197241796724,1.656214232670128,True,True,False,494.6409283424098,low/none
4,4,dyn,control,verapamil,170.9,195.3,215.7,273.6,102.70000000000002,78.30000000000001,57.900000000000034,185.8,280.9,339.0,138.6,263.8,137.4,0.063344703522724,2.22044071538586,257.21525733767453,-87.99017341004719,36.97277599670293,7.523418428745737e-05,0.0005150402805771,0.0004398060962896,2.157096011863136,True,True,False,493.7023419834785,low/none
5,5,dyn,control,verapamil,171.0,195.4,215.8,273.8,102.8,78.4,58.0,188.0,287.1,348.3,154.9,326.5,117.0,0.0265165916630798,1.6696084027984428,257.1963684262441,-87.99029879056106,36.96398512093249,7.513729994635751e-05,0.0005042398923575,0.0004291025924111,1.643091811135363,True,True,False,494.45615229556967,low/none
6,6,dyn,control,verapamil,170.9,195.3,215.7,273.5,102.6,78.19999999999999,57.80000000000001,183.5,280.9,340.1,127.8,250.7,112.1,0.0387732803303353,2.040197941162754,257.2056917058274,-87.98999888196913,36.962353899771806,7.532024659492234e-05,0.0005161125771912,0.0004407923305963,2.0014246608324187,True,True,False,494.1757719894716,low/none
7,7,dyn,control,verapamil,170.7,195.1,215.5,273.3,102.60000000000002,78.20000000000002,57.80000000000001,177.5,274.7,333.7,164.9,321.4,121.0,0.0809390193809289,2.5082683386601907,257.2306256616732,-87.99015670419813,36.98472856333268,7.518976498484179e-05,0.0005352600675926,0.0004600703026078,2.427329319279262,True,True,False,493.5651477005384,low/none
8,8,dyn,control,verapamil,171.1,195.5,215.9,274.0,102.9,78.5,58.1,191.0,290.5,351.6,168.2,313.6,131.7,0.1185520326646678,2.6963704591303923,257.185572225946,-87.9904177576443,36.956531353613165,7.502992674405353e-05,0.000499770100614,0.0004247401738699,2.577818426465724,True,True,False,493.993023103658,low/none
9,9,dyn,control,verapamil,171.1,195.5,215.9,274.0,102.9,78.5,58.1,188.1,290.4,352.6,159.1,298.8,108.8,0.1081889691352183,2.5453818771396493,257.16816623629154,-87.9899159982598,36.9527683003628,7.526161228831232e-05,0.0005017987063048,0.0004265370940165,2.437192908004431,True,True,False,494.3901729116384,low/none
10,10,dyn,control,verapamil,171.2,195.6,216.0,274.1,102.90000000000003,78.50000000000003,58.10000000000002,191.0,292.7,354.4,157.1,287.6,117.1,0.1343709997638279,2.835589757492396,257.164556391566,-87.9900228942563,36.94877382860217,7.521394062571686e-05,0.000496273499595,0.0004210595589693,2.701218757728568,True,True,False,494.2597880118879,low/none
11,11,dyn,control,verapamil,171.6,196.0,216.4,274.8,103.20000000000002,78.80000000000001,58.400000000000006,209.0,315.1,378.0,146.8,281.9,114.1,0.0571822464114558,2.03716933213952,257.0957019827764,-87.99006080198679,36.93074158326476,7.521278410020939e-05,0.0004511738185611,0.0003759610344609,1.979987085728064,False,True,False,495.5368645080187,low/none
12,12,dyn,control,verapamil,171.1,195.5,215.9,274.0,102.9,78.5,58.1,192.3,292.3,352.9,142.3,277.8,116.2,0.0537836973531283,2.167009510938299,257.1749421013689,-87.99020460184845,36.947907132542895,7.519984805753229e-05,0.0004936389518765,0.000418439103819,2.1132258135851707,True,True,False,494.47933675237806,low/none
