,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,gomez,verapamil,215.5,255.3,288.8,373.4,157.89999999999998,118.09999999999997,84.59999999999997,374.1,510.3,612.0,176.8,362.1,224.2,0.1354653976674834,0.8621660347157577,242.24342479057108,-87.80032668106844,37.94945357769807,8.905465763997967e-05,0.0002199530137189,0.000130898356079,0.7267006370482743,False,False,False,56.91866261911765,low/none
1,1,dyn,gomez,verapamil,215.6,255.4,288.8,373.2,157.6,117.79999999999998,84.39999999999998,370.7,512.6,626.7,165.5,353.0,220.1,0.0697423113523005,0.5670435287070644,242.2057708457513,-87.79886065593195,37.947787498426194,8.928636096900435e-05,0.0002195361110013,0.0001302497500323,0.4973012173547639,False,False,False,57.594499497004,low/none
2,2,dyn,gomez,verapamil,215.0,255.0,288.7,373.7,158.7,118.7,85.0,370.7,502.7,593.7,189.3,365.5,247.0,0.2372051641049125,1.2518035096382307,242.38982098486144,-87.80557440634043,37.96216217562806,8.822736303106949e-05,0.0002246077180115,0.0001363803549805,1.0145983455333183,False,False,False,56.308593167204194,low/none
3,3,dyn,gomez,verapamil,216.9,256.3,289.3,373.4,156.49999999999997,117.09999999999997,84.09999999999997,386.9,544.0,657.7,179.3,435.3,235.5,0.0872148816868538,0.5029033210355771,242.15419565799925,-87.79839428272484,37.92118518164361,8.944683413575574e-05,0.0002124854579378,0.0001230386238021,0.4156884393487233,False,False,False,57.889610573182935,low/none
4,4,dyn,gomez,verapamil,214.9,254.9,288.6,373.6,158.70000000000002,118.70000000000002,85.0,367.8,496.5,592.0,178.3,357.2,229.1,0.1580000059706514,1.0267185987114085,242.3489573441632,-87.80369837656671,37.97238959077799,8.849974653398144e-05,0.0002250777400903,0.0001365779935563,0.868718592740757,False,False,False,56.18258118029354,low/none
5,5,dyn,gomez,verapamil,216.2,255.8,289.1,373.7,157.5,117.89999999999998,84.59999999999997,381.6,523.0,627.5,179.3,384.6,240.0,0.0845084441579107,0.6275238354655704,242.2367755501602,-87.80092451578287,37.94081735783868,8.902261104811104e-05,0.0002168827660436,0.0001278601549955,0.5430153913076597,False,False,False,56.56529576566589,low/none
6,6,dyn,gomez,verapamil,215.4,255.2,288.7,373.4,157.99999999999997,118.2,84.69999999999999,370.0,506.5,610.2,172.5,363.2,216.7,0.1109833663013902,0.7943503763729489,242.25030823316925,-87.80034958111588,37.96256071220021,8.90400910530237e-05,0.0002211583481809,0.0001321182571279,0.6833670100715588,False,False,False,56.65545204230008,low/none
7,7,dyn,gomez,verapamil,214.5,254.6,288.4,373.4,158.89999999999998,118.79999999999998,85.0,364.5,496.9,589.4,200.9,397.1,228.7,0.2194044728208048,1.2108487230029068,242.42216279637657,-87.80619718886823,37.98090882702024,8.809068305731968e-05,0.0002269253645925,0.0001388346815352,0.991444250182102,False,False,False,56.70498987002888,low/none
8,8,dyn,gomez,verapamil,215.2,255.1,288.7,373.6,158.40000000000003,118.50000000000004,84.90000000000003,374.9,512.3,605.0,200.2,399.4,234.9,0.3041411447771867,1.4100065248367617,242.40607653604235,-87.80658055123668,37.96851156084688,8.808318560907252e-05,0.0002219894773632,0.0001339062917542,1.1058653800595748,False,False,False,56.39942153627042,low/none
9,9,dyn,gomez,verapamil,215.3,255.2,288.7,373.3,158.0,118.10000000000002,84.60000000000002,376.2,517.1,617.4,201.5,416.6,220.8,0.3044143907778477,1.286413468148239,242.3454838248611,-87.80437994422883,37.96251463079172,8.842747776154159e-05,0.0002196682533907,0.0001312407756292,0.9819990773703916,False,False,False,57.25761834157089,low/none
