,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,gomez,verapamil,220.8,259.1,289.7,370.5,149.7,111.39999999999998,80.80000000000001,479.9,696.2,813.9,187.3,437.9,295.6,0.3725818714553052,5.338756662265932,240.93102565630204,-87.75737365942875,37.7709756234602,9.60289997954376e-05,0.0001767827554007,8.075375560533979e-05,4.966174790810626,False,False,False,59.95742035574908,low/none
1,1,iso,gomez,verapamil,219.2,257.9,289.3,371.4,152.2,113.5,82.09999999999997,449.2,648.4,767.9,160.6,361.9,277.1,0.0969303319659526,1.9026724720452683,241.5607598490791,-87.7803884111614,37.828735805108366,9.251619854589056e-05,0.0001871792719077,9.466307336181368e-05,1.805742140079316,False,False,False,58.11714959981245,low/none
2,2,iso,gomez,verapamil,220.3,258.7,289.6,370.8,150.5,112.10000000000002,81.19999999999999,470.5,682.7,801.6,207.1,451.3,334.5,0.925528294684115,10.494003401839754,241.13152305502555,-87.76470061165631,37.78689626400638,9.492051530279984e-05,0.0001797328556067,8.48123403039255e-05,9.568475107155638,False,False,False,59.550439806271896,low/none
3,3,iso,gomez,verapamil,220.2,258.6,289.6,370.9,150.7,112.29999999999995,81.29999999999995,467.9,677.6,796.4,156.4,369.0,298.7,0.1526955161387719,1.9845041193789543,241.22284333760757,-87.7681553212755,37.79633293181488,9.440341892910766e-05,0.0001808650409623,8.64616220331949e-05,1.8318086032401824,False,False,False,59.07175028124232,low/none
4,4,iso,gomez,verapamil,220.0,258.5,289.6,371.1,151.10000000000002,112.60000000000002,81.5,464.5,671.2,790.1,186.6,419.0,310.2,0.440340710907053,6.151108554039695,241.32139575245597,-87.77185453737859,37.80722714842564,9.384532568064392e-05,0.0001822323563935,8.838703071295118e-05,5.710767843132642,False,False,False,58.58190547699873,low/none
5,5,iso,gomez,verapamil,220.3,258.6,289.7,371.0,150.7,112.39999999999998,81.30000000000001,468.5,677.3,796.0,193.0,438.8,301.1,0.1512617166705896,2.4449724680495537,241.24244157235265,-87.76897291355667,37.80006229728852,9.42863523499502e-05,0.0001809121464022,8.662579405230708e-05,2.2937107513789643,False,False,False,58.797914785476365,low/none
6,6,iso,gomez,verapamil,220.4,258.8,289.7,371.0,150.6,112.2,81.30000000000001,471.4,681.1,799.4,176.3,414.5,287.1,0.2399934518957348,3.95045300483956,241.20077765730983,-87.76750605096719,37.79786331536148,9.45145320319942e-05,0.0001800930026717,8.557847063979611e-05,3.7104595529438247,False,False,False,58.77753716810205,low/none
7,7,iso,gomez,verapamil,219.7,258.2,289.5,371.2,151.5,113.0,81.69999999999999,458.4,662.5,781.8,197.1,449.9,295.7,0.7641724726725297,8.047057151494073,241.41600571422427,-87.77522726772582,37.81487132078584,9.332123589327232e-05,0.0001841157283542,9.07944924610139e-05,7.282884678821543,False,False,False,58.45225984762724,low/none
8,8,iso,gomez,verapamil,221.7,259.7,290.0,370.3,148.60000000000002,110.60000000000002,80.30000000000001,495.7,716.5,831.2,225.4,499.9,317.7,2.1798562583182144,14.118491789342457,240.60374778161304,-87.74550234357967,37.75074413986621,9.78111367499685e-05,0.000172338378593,7.452724184310225e-05,11.93863553102424,False,False,False,60.23277327257232,low/none
9,9,iso,gomez,verapamil,221.9,259.9,290.1,370.1,148.20000000000002,110.20000000000005,80.0,500.3,723.1,836.9,222.1,513.3,293.4,1.9146888215826452,11.054772329288536,240.45095101109675,-87.73982873987501,37.73912925086732,9.86428558242874e-05,0.000170800123252,7.215726742776896e-05,9.14008350770589,False,False,False,60.65479797448196,low/none
