,hf,mech,parameter,inc,lambda,max V,max Cai,max Ta,max CaTrpn,TT max V,TT max Cai,TT max Ta,TT max CaTrpn,min V,min Cai,min Ta,min CaTrpn,ADP40,ADP90,CATD30,CATD90,TAD50,TAD90
0,control,dyn,ku,0.8,1.0,38.280285950633804,0.0006479344660004007,2.6603725889885674,0.21344232040562883,22.3,52.1,126.6,39.9,-87.98061135556281,7.665060621767584e-05,0.04687362296891654,0.008389948400874987,189.3,260.6,132.6,334.8,274.6,408.0
1,control,dyn,ku,1.0,1.0,38.28179497354827,0.0006520790218564944,2.698752482002499,0.21186953082371104,22.4,51.2,121.5,40.2,-87.98057299725502,7.666694992356394e-05,0.04689367971978583,0.008393404236782642,189.3,260.5,131.2,333.9,270.0,404.1
2,control,dyn,ku,1.2,1.0,38.28312747224215,0.0006551135481633238,2.7240081792045836,0.21069863028227734,22.4,50.5,117.7,40.3,-87.98054371580014,7.667909044044427e-05,0.04690869064750591,0.008395952677757591,189.3,260.5,130.3,333.2,266.9,401.3
3,control,dyn,ku,0.8,1.05,38.253459250714805,0.0006512409400714999,2.8391413436562543,0.21754953659581883,22.1,52.6,126.3,38.6,-87.98091548882168,7.652242309948065e-05,0.07267855437133681,0.011096609556656433,189.3,260.7,133.0,334.7,277.4,410.1
4,control,dyn,ku,1.0,1.05,38.255289922917726,0.0006555140841218185,2.8777908835013695,0.21565175549927282,22.2,51.6,121.2,39.1,-87.98085869807123,7.654739937507885e-05,0.07272585864528493,0.011103220480419304,189.3,260.6,131.6,333.6,272.8,406.2
5,control,dyn,ku,1.2,1.05,38.25701575785237,0.0006586248773325588,2.903116594480476,0.21426529501709304,22.3,50.8,117.4,39.5,-87.98081602844337,7.656566502558206e-05,0.07276060274325673,0.011108023435536858,189.3,260.6,130.6,332.8,269.5,403.5
6,control,dyn,ku,0.8,1.1,38.229002261911546,0.0006567154305258272,3.110924750026282,0.2251240905666382,21.7,53.1,126.0,31.0,-87.98134857422431,7.634353412434103e-05,0.12252380953373584,0.015244843800074768,189.3,260.8,133.5,333.6,281.7,413.6
7,control,dyn,ku,1.0,1.1,38.23032654908588,0.0006611810315007177,3.149988228796829,0.2216591213303515,21.9,52.0,120.8,36.7,-87.98125937012783,7.638430114008187e-05,0.12265248054047359,0.015580098871433919,189.3,260.8,132.1,332.3,276.9,409.6
8,control,dyn,ku,1.2,1.1,38.231807278138376,0.000664410776494167,3.1754426429083815,0.21985365728586087,22.0,51.2,117.0,37.8,-87.98119320098384,7.641362242104487e-05,0.12274528260181423,0.015802098097361113,189.3,260.7,131.0,331.4,273.6,406.9
0,control,dyn,kuw,0.8,1.0,38.28067261617836,0.0006511195891241848,2.6985284967025196,0.21248073165479492,22.4,51.6,122.6,39.9,-87.98059498410163,7.665795580367057e-05,0.04688164609682965,0.00839148440691364,189.3,260.6,131.6,334.1,271.6,405.6
1,control,dyn,kuw,1.0,1.0,38.28179497354827,0.0006520790218564944,2.698752482002499,0.21186953082371104,22.4,51.2,121.5,40.2,-87.98057299725502,7.666694992356394e-05,0.04689367971978583,0.008393404236782642,189.3,260.5,131.2,333.9,270.0,404.1
2,control,dyn,kuw,1.2,1.0,38.28272145420482,0.0006527125026118565,2.6987187420668333,0.21145386259541904,22.4,50.9,120.7,40.3,-87.98055767073676,7.667314346460318e-05,0.04690195694500721,0.00839472180593592,189.3,260.5,131.0,333.7,269.0,403.0
3,control,dyn,kuw,0.8,1.05,38.25390399987576,0.000654630859482796,2.878146032880927,0.21638202349497873,22.2,52.0,122.3,38.7,-87.98089008476224,7.653407052861953e-05,0.07269930337289524,0.011099670463386946,189.3,260.6,132.0,333.9,274.4,407.7
4,control,dyn,kuw,1.0,1.05,38.255289922917726,0.0006555140841218185,2.8777908835013695,0.21565175549927282,22.2,51.6,121.2,39.1,-87.98085869807123,7.654739937507885e-05,0.07272585864528493,0.011103220480419304,189.3,260.6,131.6,333.6,272.8,406.2
5,control,dyn,kuw,1.2,1.05,38.2564505484617,0.0006560895169169357,2.877346965721968,0.21516098872172598,22.3,51.3,120.5,39.4,-87.98083685487924,7.655653320243169e-05,0.07274406733696487,0.011105647096593669,189.3,260.6,131.3,333.4,271.7,405.2
6,control,dyn,kuw,0.8,1.1,38.22925535963013,0.0006603830947483201,3.151088068409423,0.22313847997911343,21.8,52.4,121.9,30.9,-87.98130622217651,7.636350158382023e-05,0.1225851342619231,0.015395459445764379,189.3,260.8,132.4,332.7,278.5,411.1
7,control,dyn,kuw,1.0,1.1,38.23032654908588,0.0006611810315007177,3.149988228796829,0.2216591213303515,21.9,52.0,120.8,36.7,-87.98125937012783,7.638430114008187e-05,0.12265248054047359,0.015580098871433919,189.3,260.8,132.1,332.3,276.9,409.6
8,control,dyn,kuw,1.2,1.1,38.2313185947751,0.0006616909092527406,3.149020670408791,0.22100475667659183,21.9,51.7,120.1,37.4,-87.98122693480168,7.639840473033548e-05,0.1226981844822545,0.015701609141147384,189.3,260.7,131.8,332.0,275.9,408.7
0,control,dyn,kws,0.8,1.0,38.280406516829245,0.000646657251873203,2.633934129602766,0.2135578646782247,22.3,52.2,127.3,39.9,-87.98085929490041,7.648470259968284e-05,0.0468539395975208,0.008211407018790045,189.4,260.6,132.8,336.3,290.5,450.1
1,control,dyn,kws,1.0,1.0,38.28179497354827,0.0006520790218564944,2.698752482002499,0.21186953082371104,22.4,51.2,121.5,40.2,-87.98057299725502,7.666694992356394e-05,0.04689367971978583,0.008393404236782642,189.3,260.5,131.2,333.9,270.0,404.1
2,control,dyn,kws,1.2,1.0,38.28316101916278,0.0006562389754044502,2.743882948353732,0.2106031175268646,22.5,50.4,116.9,40.4,-87.98042936824054,7.674353635722588e-05,0.04696094020602589,0.008410691854662427,189.3,260.5,130.1,331.6,256.3,374.4
3,control,dyn,kws,0.8,1.05,38.25387627759656,0.0006497844056812804,2.812475557191081,0.21762530346469372,22.1,52.7,127.1,38.5,-87.98136408574763,7.619587255872155e-05,0.07238745525411028,0.009868473079008991,189.4,260.7,133.2,336.9,293.6,452.2
4,control,dyn,kws,1.0,1.05,38.255289922917726,0.0006555140841218185,2.8777908835013695,0.21565175549927282,22.2,51.6,121.2,39.1,-87.98085869807123,7.654739937507885e-05,0.07272585864528493,0.011103220480419304,189.3,260.6,131.6,333.6,272.8,406.2
5,control,dyn,kws,1.2,1.05,38.25682716036474,0.0006599224877311781,2.9232917532142237,0.21422309559730127,22.3,50.7,116.7,39.5,-87.98063947744421,7.666788618475934e-05,0.07292681618590467,0.011136430784917719,189.3,260.5,130.4,330.4,258.8,376.6
6,control,dyn,kws,0.8,1.1,38.23035831231393,0.0006549086306246736,3.0837025571352004,0.22533395312621898,21.7,53.3,126.7,30.9,-87.98227536254653,7.564812586495362e-05,0.12129493492317733,0.012233642860605971,189.3,260.9,133.8,337.6,298.4,455.6
7,control,dyn,kws,1.0,1.1,38.23032654908588,0.0006611810315007177,3.149988228796829,0.2216591213303515,21.9,52.0,120.8,36.7,-87.98125937012783,7.638430114008187e-05,0.12265248054047359,0.015580098871433919,189.3,260.8,132.1,332.3,276.9,409.6
8,control,dyn,kws,1.2,1.1,38.23086462444041,0.0006660261151093742,3.19621690616439,0.21991296568123866,22.0,51.0,116.3,38.0,-87.98091523849803,7.657492729289843e-05,0.12322423840965988,0.01586095976334064,189.3,260.7,130.8,327.7,262.7,380.4
0,control,dyn,ktrpn,0.8,1.0,38.295226338904776,0.0006489344214291148,2.6993246898995498,0.2114791759189052,22.4,50.7,122.3,40.7,-87.98043760190743,7.671370048793695e-05,0.04695434611805996,0.00840285382796955,189.4,260.6,131.0,335.5,271.6,406.0
1,control,dyn,ktrpn,1.0,1.0,38.28179497354827,0.0006520790218564944,2.698752482002499,0.21186953082371104,22.4,51.2,121.5,40.2,-87.98057299725502,7.666694992356394e-05,0.04689367971978583,0.008393404236782642,189.3,260.5,131.2,333.9,270.0,404.1
2,control,dyn,ktrpn,1.2,1.0,38.27325317651704,0.0006543259823479944,2.6984030248149553,0.21211107088175685,22.4,51.5,120.9,39.8,-87.98067013078486,7.663353837606095e-05,0.046850368350671204,0.008386672131247112,189.3,260.5,131.4,332.8,269.0,402.8
3,control,dyn,ktrpn,0.8,1.05,38.265306954251436,0.0006524567903960244,2.8794283003338186,0.2153949028181124,22.2,51.1,121.9,39.5,-87.98072602242486,7.659228000482758e-05,0.07281159462474059,0.01111465390411489,189.4,260.7,131.4,335.3,274.4,408.1
4,control,dyn,ktrpn,1.0,1.05,38.255289922917726,0.0006555140841218185,2.8777908835013695,0.21565175549927282,22.2,51.6,121.2,39.1,-87.98085869807123,7.654739937507885e-05,0.07272585864528493,0.011103220480419304,189.3,260.6,131.6,333.6,272.8,406.2
5,control,dyn,ktrpn,1.2,1.05,38.24927879625674,0.0006576736207269297,2.8766882124531716,0.21580658947033116,22.2,51.9,120.7,38.9,-87.98095416856275,7.651521085405979e-05,0.07266442251662414,0.011095038854314019,189.3,260.6,131.7,332.5,271.7,404.9
