,hf,mech,parameter,inc,lambda,max V,max Cai,max Ta,max CaTrpn,TT max V,TT max Cai,TT max Ta,TT max CaTrpn,min V,min Cai,min Ta,min CaTrpn,ADP40,ADP90,CATD30,CATD90,TAD50,TAD90
0,gomez,dyn,ku,0.8,1.0,40.23336293740716,0.00026070583856963866,1.126721324586981,0.07050972815932179,16.4,153.3,207.5,123.7,-87.78791649168245,9.138746965165684e-05,0.12830593414781907,0.020026261826760546,236.7,345.5,293.4,577.6,391.0,576.2
1,gomez,dyn,ku,1.0,1.0,40.233912960623286,0.0002607996826655525,1.1269184723240209,0.07034028895743817,16.4,152.5,205.1,124.4,-87.78776430102634,9.140788153439365e-05,0.12834793072993456,0.020033871310320223,236.7,345.4,293.0,577.8,389.3,575.7
2,gomez,dyn,ku,1.2,1.0,40.23427309954273,0.0002608554142374487,1.1269088387002397,0.07023187971674641,16.4,152.0,203.5,124.8,-87.78766197482841,9.142166586093145e-05,0.12837662946981557,0.02003900764925822,236.7,345.4,292.7,578.0,388.2,575.4
3,gomez,dyn,ku,0.8,1.05,40.25666107086842,0.0002643624628694651,1.2955933352651368,0.07374444164945365,16.5,151.2,203.2,119.0,-87.791114841345,9.083881087874653e-05,0.21925666718343312,0.02518495235441905,236.6,345.8,292.3,564.0,386.2,575.4
4,gomez,dyn,ku,1.0,1.05,40.25733783399599,0.0002644487800351991,1.2955551603051063,0.07354843851911094,16.5,150.4,200.8,119.9,-87.79090903889815,9.086695649357913e-05,0.21939646513372354,0.025193428075752144,236.6,345.7,291.8,564.4,384.4,575.2
5,gomez,dyn,ku,1.2,1.05,40.25777826866157,0.000264499500814731,1.2953843331362547,0.073424671687999,16.5,149.9,199.2,120.5,-87.79077028778796,9.088603168769993e-05,0.21949182657118424,0.025199171768787037,236.5,345.7,291.4,564.7,383.3,575.1
6,gomez,dyn,ku,0.8,1.1,40.283574816363064,0.00026961793162858606,1.5593069049623098,0.07833464931347754,16.6,148.2,197.4,112.9,-87.79287649984019,9.049098593023162e-05,0.4215561897388479,0.03229318217401778,236.3,346.2,290.3,543.6,376.5,560.7
7,gomez,dyn,ku,1.0,1.1,40.28444303354717,0.00026969090030685083,1.5589307171028186,0.07809970765978101,16.6,147.4,195.0,114.3,-87.79260967531286,9.05280220864643e-05,0.42178948977042624,0.03230306456234583,236.3,346.1,289.7,544.3,374.7,561.1
8,gomez,dyn,ku,1.2,1.1,40.28500444156902,0.0002697328314583566,1.558533535030337,0.07795480653320346,16.6,146.9,193.4,115.1,-87.7924288749738,9.055323233049486e-05,0.4219490025863844,0.03230979230372152,236.3,346.1,289.4,544.7,373.6,561.4
0,gomez,dyn,kuw,0.8,1.0,40.23358933845225,0.00026078923802339807,1.1277552726671456,0.07042641914179032,16.4,152.9,206.2,123.8,-87.78789567749733,9.13895057044585e-05,0.12831962430318183,0.02002652877325987,236.7,345.5,293.2,577.6,390.5,576.2
