,hf,mech,parameter,inc,lambda,max V,max Cai,max Ta,max CaTrpn,TT max V,TT max Cai,TT max Ta,TT max CaTrpn,min V,min Cai,min Ta,min CaTrpn,ADP40,ADP90,CATD30,CATD90,TAD50,TAD90
0,control,iso,ku,0.8,0.9,38.270254935106145,0.0005715775562226273,13.209510902976572,0.22673128664206654,22.4,37.8,143.5,49.3,-87.97894857210281,7.708465008738416e-05,0.02195130774045804,0.005412113599103031,190.6,261.9,134.3,381.5,247.2,357.0
1,control,iso,ku,1.0,0.9,38.270254991527906,0.0005715777278091374,13.86975227774515,0.22673119464874777,22.4,37.8,137.6,49.3,-87.97894857289097,7.708466633905119e-05,0.021949259883224288,0.005412116128159688,190.6,261.9,134.3,381.5,240.4,351.0
2,control,iso,ku,1.2,0.9,38.27025534724772,0.0005715778697379114,14.332956196458715,0.22673111039559055,22.4,37.8,133.3,49.3,-87.97894859003523,7.708464954973028e-05,0.02194792930188162,0.005412113734554614,190.6,261.9,134.3,381.5,235.6,346.9
3,control,iso,ku,0.8,0.95,38.202079903628466,0.000528720906209767,17.87495725355844,0.2432134041627312,22.0,39.9,150.7,50.7,-87.97836740261288,7.722907175044992e-05,0.03389962084146128,0.006922797944895432,191.4,262.5,143.1,410.1,262.3,377.3
4,control,iso,ku,1.0,0.95,38.20208032160544,0.0005287212431745352,18.751413001293997,0.2432132891440402,22.0,39.9,144.3,50.7,-87.97836736952455,7.722910030714433e-05,0.03389528422645068,0.006922803737155764,191.4,262.5,143.1,410.1,254.9,370.8
5,control,iso,ku,1.2,0.95,38.20208101231673,0.0005287214978756543,19.364382407279557,0.24321316029383414,22.0,39.9,139.6,50.7,-87.9783673831148,7.722909662592065e-05,0.03389230569999171,0.006922803161673345,191.4,262.5,143.1,410.1,249.6,366.3
6,control,iso,ku,0.8,1.0,38.125948560436086,0.0004839410489897078,24.11765409263521,0.2629184808511745,21.6,42.3,159.5,52.5,-87.97745807720452,7.747917861867247e-05,0.05386997485815804,0.009178961186912587,192.5,263.2,154.2,447.5,281.7,404.4
7,control,iso,ku,1.0,1.0,38.12594813618984,0.00048394182740477934,25.259786353293464,0.2629184676942732,21.6,42.3,152.4,52.5,-87.97745821331877,7.74791955347495e-05,0.05385745327220808,0.0091789653402437,192.5,263.2,154.2,447.5,273.5,397.3
8,control,iso,ku,1.2,1.0,38.125948655009,0.0004839421988508258,26.05434264224629,0.26291820933811394,21.6,42.3,147.2,52.5,-87.97745817617016,7.747921104107328e-05,0.053849957638228266,0.009178968988568589,192.5,263.2,154.2,447.5,267.7,392.4
9,control,iso,ku,0.8,1.05,38.039033598019756,0.0004372753340240297,32.721528718181375,0.2874701894905218,21.3,45.4,170.8,54.9,-87.9756527085705,7.795401893787111e-05,0.09038340979578058,0.012795977858623837,194.1,264.1,168.7,498.5,307.7,443.0
10,control,iso,ku,1.0,1.05,38.03903429003674,0.0004372762358805787,34.18185738203538,0.2874698322843119,21.3,45.4,162.7,54.9,-87.97565271507555,7.795407615650835e-05,0.09034456782093465,0.01279599874008636,194.1,264.1,168.7,498.5,298.4,435.0
11,control,iso,ku,1.2,1.05,38.03903532092003,0.0004372769409499524,35.189272373460824,0.28746943883606935,21.3,45.4,156.8,54.9,-87.97565264596287,7.795407935437186e-05,0.09031943551835653,0.012795999882866883,194.1,264.1,168.7,498.5,291.9,429.6
12,control,iso,ku,0.8,1.1,37.937165613748455,0.00038897530094820126,45.07454910582734,0.3199914183631465,21.0,49.2,185.6,57.9,-87.97126766840061,7.936709287593169e-05,0.1692817285591831,0.01940169999732967,196.2,265.3,187.8,568.9,344.7,502.7
13,control,iso,ku,1.0,1.1,37.93716979455234,0.0003889766229038145,46.891810783456044,0.3199904758301291,21.0,49.2,176.2,57.9,-87.97126772264849,7.936707386846064e-05,0.16907618077653083,0.019401690603724854,196.2,265.3,187.8,568.9,334.0,493.7
14,control,iso,ku,1.2,1.1,37.93717257508569,0.00038897785671769834,48.12854814876001,0.31998971842437973,21.0,49.2,169.3,57.9,-87.97126779838092,7.936705651487458e-05,0.1689475484443184,0.019401682928922647,196.2,265.3,187.8,568.9,326.6,487.7
0,control,iso,kuw,0.8,0.9,38.27025508874242,0.0005715776665314833,13.825806698565259,0.22673123257818734,22.4,37.8,138.8,49.3,-87.97894854920148,7.708466648359732e-05,0.021949757459146416,0.005412116533891674,190.6,261.9,134.3,381.5,242.0,352.8
1,control,iso,kuw,1.0,0.9,38.270254991527906,0.0005715777278091374,13.86975227774515,0.22673119464874777,22.4,37.8,137.6,49.3,-87.97894857289097,7.708466633905119e-05,0.021949259883224288,0.005412116128159688,190.6,261.9,134.3,381.5,240.4,351.0
2,control,iso,kuw,1.2,0.9,38.270255007641055,0.0005715777983330292,13.898104505214967,0.2267311833102082,22.4,37.8,136.9,49.3,-87.9789485816023,7.708465593639749e-05,0.021949008859562195,0.005412114835462608,190.6,261.9,134.3,381.5,239.4,349.9
3,control,iso,kuw,0.8,0.95,38.20208087087011,0.000528721074280326,18.69907582594302,0.2432132951626681,22.0,39.9,145.4,50.7,-87.97836735951168,7.722909958599261e-05,0.03389708847561029,0.006922803627226064,191.4,262.5,143.1,410.1,256.4,372.5
4,control,iso,kuw,1.0,0.95,38.20208032160544,0.0005287212431745352,18.751413001293997,0.2432132891440402,22.0,39.9,144.3,50.7,-87.97836736952455,7.722910030714433e-05,0.03389528422645068,0.006922803737155764,191.4,262.5,143.1,410.1,254.9,370.8
5,control,iso,kuw,1.2,0.95,38.20208061281411,0.0005287214054302816,18.7851904611696,0.24321331372714053,22.0,39.9,143.5,50.7,-87.97836737682545,7.722908939912228e-05,0.033893754597291874,0.006922802494993159,191.4,262.5,143.1,410.1,253.9,369.7
6,control,iso,kuw,0.8,1.0,38.125947695708696,0.0004839416695891031,25.19953683168756,0.2629185473366567,21.6,42.3,153.6,52.5,-87.97745820747608,7.7479183412117e-05,0.053866651239144164,0.009178961501270696,192.5,263.2,154.2,447.5,275.0,399.0
7,control,iso,kuw,1.0,1.0,38.12594813618984,0.00048394182740477934,25.259786353293464,0.2629184676942732,21.6,42.3,152.4,52.5,-87.97745821331877,7.74791955347495e-05,0.05385745327220808,0.0091789653402437,192.5,263.2,154.2,447.5,273.5,397.3
8,control,iso,kuw,1.2,1.0,38.12594845266224,0.00048394188396484446,25.298677797721115,0.26291836659613455,21.6,42.3,151.7,52.5,-87.97745821752389,7.747917463631863e-05,0.053851764669696246,0.009178959135837016,192.5,263.2,154.2,447.5,272.5,396.2
9,control,iso,kuw,0.8,1.05,38.03903354992588,0.00043727601537780684,34.115364343317836,0.2874699809801715,21.3,45.4,163.8,54.9,-87.97565262130058,7.79540867761681e-05,0.09038108316131002,0.012796002397176692,194.1,264.1,168.7,498.5,299.9,436.7
10,control,iso,kuw,1.0,1.05,38.03903429003674,0.0004372762358805787,34.18185738203538,0.2874698322843119,21.3,45.4,162.7,54.9,-87.97565271507555,7.795407615650835e-05,0.09034456782093465,0.01279599874008636,194.1,264.1,168.7,498.5,298.4,435.0
11,control,iso,kuw,1.2,1.05,38.03903419006822,0.0004372764138510056,34.22479341288713,0.28746977119662503,21.3,45.4,162.0,54.9,-87.97565259341194,7.795408978934158e-05,0.09032219655088608,0.012796002818624898,194.1,264.1,168.7,498.5,297.5,433.9
12,control,iso,kuw,0.8,1.1,37.93716914661534,0.0003889762475100396,46.82313749355116,0.31999067733250824,21.0,49.2,177.3,57.9,-87.97126777138558,7.936706363368292e-05,0.16926078062214037,0.01940168630972571,196.2,265.3,187.8,568.9,335.4,495.4
13,control,iso,kuw,1.0,1.1,37.93716979455234,0.0003889766229038145,46.891810783456044,0.3199904758301291,21.0,49.2,176.2,57.9,-87.97126772264849,7.936707386846064e-05,0.16907618077653083,0.019401690603724854,196.2,265.3,187.8,568.9,334.0,493.7
14,control,iso,kuw,1.2,1.1,37.93717027036523,0.0003889768558988245,46.93615680735242,0.31999028884468284,21.0,49.2,175.5,57.9,-87.97126773008209,7.936707285942883e-05,0.16896013552183076,0.01940169124871496,196.2,265.3,187.8,568.9,333.1,492.6
0,control,iso,kws,0.8,0.9,38.27025436250167,0.0005715775379088712,12.89099805314576,0.22673131142863262,22.4,37.8,144.4,49.3,-87.97894853674987,7.708466495631887e-05,0.02216227748379154,0.005412115983094211,190.6,261.9,134.3,381.5,254.8,382.1
1,control,iso,kws,1.0,0.9,38.270254991527906,0.0005715777278091374,13.86975227774515,0.22673119464874777,22.4,37.8,137.6,49.3,-87.97894857289097,7.708466633905119e-05,0.021949259883224288,0.005412116128159688,190.6,261.9,134.3,381.5,240.4,351.0
2,control,iso,kws,1.2,0.9,38.27025512207374,0.0005715779371280479,14.591309486382146,0.2267311034020609,22.4,37.8,132.5,49.3,-87.97894858976126,7.708465187042497e-05,0.02191127644444244,0.005412114077204547,190.6,261.9,134.3,381.5,230.4,331.3
3,control,iso,kws,0.8,0.95,38.20207998016079,0.000528720906868166,17.515783174416605,0.24321346110611292,22.0,39.9,151.6,50.7,-87.9783672999256,7.72291062090375e-05,0.03429606321136717,0.0069228058180566725,191.4,262.5,143.1,410.1,269.7,401.2
4,control,iso,kws,1.0,0.95,38.20208032160544,0.0005287212431745352,18.751413001293997,0.2432132891440402,22.0,39.9,144.3,50.7,-87.97836736952455,7.722910030714433e-05,0.03389528422645068,0.006922803737155764,191.4,262.5,143.1,410.1,254.9,370.8
5,control,iso,kws,1.2,0.95,38.20208088478609,0.0005287215217157846,19.650987057264693,0.24321310499054602,22.0,39.9,138.7,50.7,-87.97836737264046,7.722911610120762e-05,0.033834508854304744,0.00692280697046242,191.4,262.5,143.1,410.1,244.6,351.3
6,control,iso,kws,0.8,1.0,38.12594669568449,0.00048394127060978306,23.73206445420618,0.26291874380663033,21.6,42.3,160.5,52.5,-87.9774581414546,7.747919535348439e-05,0.05470700422447419,0.009178965074843606,192.5,263.2,154.2,447.5,288.7,427.2
7,control,iso,kws,1.0,1.0,38.12594813618984,0.00048394182740477934,25.259786353293464,0.2629184676942732,21.6,42.3,152.4,52.5,-87.97745821331877,7.74791955347495e-05,0.05385745327220808,0.0091789653402437,192.5,263.2,154.2,447.5,273.5,397.3
8,control,iso,kws,1.2,1.0,38.12594837405299,0.00048394236136559696,26.35579648323374,0.2629182268278937,21.6,42.3,146.3,52.5,-87.9774582214984,7.747917046495835e-05,0.05369115811400158,0.009178958203374003,192.5,263.2,154.2,447.5,262.9,378.2
9,control,iso,kws,0.8,1.05,38.039031804123155,0.00043727537023983845,32.333169566872975,0.28747037059111974,21.3,45.4,171.8,54.9,-87.97565260690916,7.79540824867719e-05,0.09250291244301599,0.01279600074681977,194.1,264.1,168.7,498.5,314.2,464.4
10,control,iso,kws,1.0,1.05,38.03903429003674,0.0004372762358805787,34.18185738203538,0.2874698322843119,21.3,45.4,162.7,54.9,-87.97565271507555,7.795407615650835e-05,0.09034456782093465,0.01279599874008636,194.1,264.1,168.7,498.5,298.4,435.0
11,control,iso,kws,1.2,1.05,38.03903573129609,0.000437277081489905,35.48495259504624,0.28746938764893354,21.3,45.4,155.9,54.9,-87.97565275322671,7.795406886006722e-05,0.08980827213651792,0.012795996324154827,194.1,264.1,168.7,498.5,287.5,416.3
12,control,iso,kws,0.8,1.1,37.937165454287175,0.00038897507663521874,44.71794299420045,0.3199914119963471,21.0,49.2,186.6,57.9,-87.97126773277454,7.936706505167826e-05,0.1775139402870261,0.019401684525175714,196.2,265.3,187.8,568.9,350.6,522.2
13,control,iso,kws,1.0,1.1,37.93716979455234,0.0003889766229038145,46.891810783456044,0.3199904758301291,21.0,49.2,176.2,57.9,-87.97126772264849,7.936707386846064e-05,0.16907618077653083,0.019401690603724854,196.2,265.3,187.8,568.9,334.0,493.7
14,control,iso,kws,1.2,1.1,37.93717263929271,0.00038897809715287255,48.391078962533555,0.31998968284219764,21.0,49.2,168.5,57.9,-87.97126776278908,7.936707639799869e-05,0.16640426437372274,0.019401693415557204,196.2,265.3,187.8,568.9,322.6,475.5
0,control,iso,ktrpn,0.8,0.9,38.28872736167324,0.0005759806777865557,13.826428846714235,0.22596256735500014,22.4,31.2,138.4,50.0,-87.9787748361639,7.71460383907145e-05,0.021990651839754433,0.005420841730275544,190.7,261.9,131.2,381.9,241.7,352.9
1,control,iso,ktrpn,1.0,0.9,38.270254991527906,0.0005715777278091374,13.86975227774515,0.22673119464874777,22.4,37.8,137.6,49.3,-87.97894857289097,7.708466633905119e-05,0.021949259883224288,0.005412116128159688,190.6,261.9,134.3,381.5,240.4,351.0
2,control,iso,ktrpn,1.2,0.9,38.25777294596295,0.000570263904544228,13.901071665685755,0.22724897772172323,22.3,40.2,137.1,48.8,-87.97907180840203,7.704130325087647e-05,0.021920280673724438,0.00540598159229999,190.6,261.9,135.8,381.0,239.6,349.8
3,control,iso,ktrpn,0.8,0.95,38.217612855802045,0.0005316949118246619,18.7100703270743,0.24254997777370754,22.1,34.6,145.0,51.3,-87.97817100592644,7.72991346052621e-05,0.033974003499501956,0.0069354693438919545,191.5,262.5,140.3,410.7,256.2,372.7
4,control,iso,ktrpn,1.0,0.95,38.20208032160544,0.0005287212431745352,18.751413001293997,0.2432132891440402,22.0,39.9,144.3,50.7,-87.97836736952455,7.722910030714433e-05,0.03389528422645068,0.006922803737155764,191.4,262.5,143.1,410.1,254.9,370.8
5,control,iso,ktrpn,1.2,0.95,38.191823065809686,0.0005277615636333278,18.781517401191948,0.2436605439362346,22.0,42.0,143.8,50.3,-87.97850632613363,7.717983794426428e-05,0.0338410879577133,0.006913934100623526,191.4,262.5,144.5,409.4,254.1,369.5
6,control,iso,ktrpn,0.8,1.0,38.13787249062314,0.00048591856712858173,25.226963289485553,0.26237944754396897,21.7,38.1,153.1,53.1,-87.97722659704236,7.755907956140603e-05,0.05402719867012748,0.009198043417325564,192.6,263.2,151.7,448.4,274.7,399.2
7,control,iso,ktrpn,1.0,1.0,38.12594813618984,0.00048394182740477934,25.259786353293464,0.2629184676942732,21.6,42.3,152.4,52.5,-87.97745821331877,7.74791955347495e-05,0.05385745327220808,0.0091789653402437,192.5,263.2,154.2,447.5,273.5,397.3
8,control,iso,ktrpn,1.2,1.0,38.11841591230177,0.0004832529266490142,25.2839344169673,0.26328080344691024,21.6,44.3,152.0,52.2,-87.9776205545532,7.742296161166508e-05,0.053743666414914966,0.009165635853123218,192.5,263.2,155.5,446.8,272.7,396.0
9,control,iso,ktrpn,0.8,1.05,38.04652648777476,0.0004385655361176348,34.16696411579071,0.287078642054361,21.3,41.8,163.3,55.3,-87.97535491188258,7.805525271952917e-05,0.0907629942515811,0.012832270371416215,194.1,264.1,166.4,499.5,299.6,437.1
10,control,iso,ktrpn,1.0,1.05,38.03903429003674,0.0004372762358805787,34.18185738203538,0.2874698322843119,21.3,45.4,162.7,54.9,-87.97565271507555,7.795407615650835e-05,0.09034456782093465,0.01279599874008636,194.1,264.1,168.7,498.5,298.4,435.0
11,control,iso,ktrpn,1.2,1.05,38.034784362023814,0.00043678437215324486,34.19316413749367,0.2877293501598784,21.2,47.1,162.3,54.5,-87.97585881077055,7.788431512728644e-05,0.09006748637681364,0.012771459171362605,194.0,264.1,169.9,497.7,297.6,433.7
12,control,iso,ktrpn,0.8,1.1,37.93941472057562,0.0003898131039441871,46.90862712035076,0.3197825875165529,21.0,46.3,176.7,58.3,-87.97084611777947,7.95159577429004e-05,0.1704256776636961,0.019488942847238323,196.3,265.4,185.9,569.8,335.2,495.9
13,control,iso,ktrpn,1.0,1.1,37.93716979455234,0.0003889766229038145,46.891810783456044,0.3199904758301291,21.0,49.2,176.2,57.9,-87.97126772264849,7.936707386846064e-05,0.16907618077653083,0.019401690603724854,196.2,265.3,187.8,568.9,334.0,493.7
14,control,iso,ktrpn,1.2,1.1,37.93681091798846,0.00038861543579603156,46.880411172989355,0.3201218676625862,20.9,50.7,175.8,57.6,-87.9715567908887,7.926555503780499e-05,0.16819382170800923,0.019343475278145655,196.2,265.3,189.0,568.2,333.2,492.3
0,control,iso,Trpn50,0.8,0.9,38.27025658025782,0.0005715778435189482,19.1481805839562,0.2267310677803638,22.4,37.8,151.3,49.3,-87.97894866372273,7.708462001098825e-05,0.03749930258044555,0.005412108398999049,190.6,261.9,134.3,381.5,258.6,368.1
1,control,iso,Trpn50,1.0,0.9,38.270254991527906,0.0005715777278091374,13.86975227774515,0.22673119464874777,22.4,37.8,137.6,49.3,-87.97894857289097,7.708466633905119e-05,0.021949259883224288,0.005412116128159688,190.6,261.9,134.3,381.5,240.4,351.0
2,control,iso,Trpn50,1.2,0.9,38.2702537972568,0.0005715776924679023,10.18535807674444,0.22673136034534866,22.4,37.8,128.4,49.3,-87.97894850722776,7.70846702001852e-05,0.014170263372189176,0.005412116823500019,190.6,261.9,134.3,381.5,229.0,340.7
3,control,iso,Trpn50,0.8,0.95,38.20208328277366,0.0005287212683497696,25.61400034096451,0.24321298516273024,22.0,39.9,159.0,50.7,-87.97836745269633,7.722906443834128e-05,0.05791048845945988,0.0069227969904661485,191.4,262.5,143.1,410.1,275.0,389.6
4,control,iso,Trpn50,1.0,0.95,38.20208032160544,0.0005287212431745352,18.751413001293997,0.2432132891440402,22.0,39.9,144.3,50.7,-87.97836736952455,7.722910030714433e-05,0.03389528422645068,0.006922803737155764,191.4,262.5,143.1,410.1,254.9,370.8
5,control,iso,Trpn50,1.2,0.95,38.20207871316888,0.0005287211108702543,13.885221892362605,0.24321351607905334,22.0,39.9,134.3,50.7,-87.97836733034372,7.722910675718537e-05,0.021882111811460988,0.006922805235273237,191.4,262.5,143.1,410.1,242.2,359.2
