,hf,mech,parameter,inc,lambda,max V,max Cai,max Ta,max CaTrpn,TT max V,TT max Cai,TT max Ta,TT max CaTrpn,min V,min Cai,min Ta,min CaTrpn,ADP40,ADP90,CATD30,CATD90,TAD50,TAD90
0,gomez,iso,ku,0.8,0.9,40.15219488421354,0.0002321793650638364,2.10620264471129,0.07697017599188548,16.2,160.0,247.6,169.7,-87.7810890092564,9.271152993073754e-05,0.06604369651045326,0.01318835535778061,238.3,344.2,319.5,679.3,392.9,556.9
1,gomez,iso,ku,1.0,0.9,40.15219561253227,0.00023217937054836285,2.11738748226849,0.0769701636751768,16.2,160.0,244.8,169.7,-87.78108905748702,9.2711503146844e-05,0.06601324049917315,0.013188347175669904,238.3,344.2,319.5,679.3,390.2,554.7
2,gomez,iso,ku,1.2,0.9,40.1521955988053,0.00023217937795846292,2.1242198651299047,0.07697015779425215,16.2,160.0,242.9,169.7,-87.78108910145306,9.271149943106694e-05,0.06599374656207806,0.013188346272315602,238.3,344.2,319.5,679.3,388.4,553.3
3,gomez,iso,ku,0.8,0.95,40.11526576633396,0.00021792549547920142,3.7247721414947135,0.09219017407458195,16.3,177.2,263.5,186.5,-87.77103866778573,9.438132851965059e-05,0.117981371809575,0.018803446101955886,239.5,343.7,338.3,731.1,422.0,617.5
4,gomez,iso,ku,1.0,0.95,40.11526541412486,0.00021792552720901616,3.7491916750811325,0.09219015630103365,16.3,177.2,260.2,186.5,-87.77103856130681,9.43813499947994e-05,0.11789547618127416,0.01880345471254035,239.5,343.7,338.3,731.1,418.4,614.6
5,gomez,iso,ku,1.2,0.95,40.11526583101615,0.0002179255464330202,3.7640733265117365,0.09219014300526902,16.3,177.2,257.9,186.5,-87.77103863331462,9.438132903928114e-05,0.11783924537941677,0.01880344601930154,239.5,343.7,338.3,731.1,416.0,612.8
6,gomez,iso,ku,0.8,1.0,40.06403568034528,0.00020287805211042774,6.968977699843979,0.11465849416225471,16.4,197.4,281.8,206.1,-87.74971832792993,9.771663537914869e-05,0.3531748285401688,0.02937557550143628,241.0,342.9,361.0,786.6,462.0,695.9
7,gomez,iso,ku,1.0,1.0,40.064035868515795,0.0002028781315937794,7.026599527100777,0.11465844432286477,16.4,197.4,277.7,206.1,-87.7497183077163,9.77166375992807e-05,0.35238659807635336,0.029375577395216595,241.0,342.9,361.0,786.6,457.0,692.2
8,gomez,iso,ku,1.2,1.0,40.06403596456103,0.00020287818286430107,7.061767157761918,0.11465841033066859,16.4,197.4,274.9,206.1,-87.74971828446856,9.771663983861845e-05,0.3518841155980171,0.02937557876810491,241.0,342.9,361.0,786.6,453.7,689.8
9,gomez,iso,ku,0.8,1.05,39.99361069510313,0.000187656404763336,14.42918480250611,0.15172886186605627,16.5,216.2,304.1,224.1,-87.70921455941355,0.00010373919977278472,1.5767378009455282,0.05223040515129158,242.6,342.0,386.6,836.7,520.8,793.3
