,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,dyn,gomez,bepridil,216.9,261.3,298.8,393.3,176.4,132.0,94.5,370.3,504.0,598.2,201.7,382.9,204.6,0.14637145109253094,1.1773314048815173,241.16576258379575,-87.77630394069065,40.39903927977892,9.305383576449727e-05,0.00026385797286515805,0.00017080413710066078,1.0309599537889864,False,False,False,-9.615726855459656
1,dyn,gomez,bepridil,216.8,261.2,298.7,392.8,176.0,131.60000000000002,94.10000000000002,363.0,498.3,602.1,182.8,360.0,197.6,0.0766573451860115,0.8273841858404197,241.11615293173983,-87.77402331352093,40.399879685886965,9.3382835133226e-05,0.0002657246022520119,0.00017234176711878587,0.7507268406544082,False,False,False,-9.393990433040742
2,dyn,gomez,bepridil,216.6,261.1,298.8,393.8,177.20000000000002,132.7,95.0,367.2,501.8,586.5,207.1,381.9,235.5,0.2533900781477956,1.6548512143050484,241.31694425277294,-87.7819743636001,40.398486974363834,9.21882096957899e-05,0.0002692190506348846,0.00017703084093909468,1.4014611361572529,False,False,False,-10.368965816202433
3,dyn,gomez,bepridil,217.7,261.8,299.0,392.9,175.2,131.09999999999997,93.89999999999998,373.0,521.5,631.1,174.4,412.7,212.1,0.09667014635928634,0.770676026436171,241.0825332954792,-87.77424837173903,40.384129833026854,9.34349146348077e-05,0.00025757820333404264,0.00016414328869923493,0.6740058800768847,False,False,False,-9.67050789615805
4,dyn,gomez,bepridil,216.4,261.0,298.8,393.6,177.20000000000002,132.60000000000002,94.80000000000001,364.2,493.0,582.4,198.2,373.8,216.3,0.16958878784230114,1.3732895465659027,241.2786957611662,-87.78009462344826,40.42170979381082,9.245085935380658e-05,0.00027025520781107874,0.00017780434845727215,1.2037007587236017,False,False,False,-10.658319431009538
5,dyn,gomez,bepridil,217.3,261.6,299.0,393.6,176.3,132.0,94.60000000000002,375.8,512.6,608.5,199.0,397.4,220.3,0.09198446457085137,0.8766548722244859,241.18140145687747,-87.77776362500384,40.40591758567595,9.289009681336229e-05,0.00026036147343975764,0.00016747137662639536,0.7846704076536345,False,False,False,-10.549402609466597
6,dyn,gomez,bepridil,216.7,261.2,298.7,393.2,176.5,132.0,94.5,366.9,498.8,596.4,195.0,382.6,197.7,0.12022912077161185,1.0878125257164246,241.17368808987564,-87.77632711020837,40.42334485289337,9.303689704845552e-05,0.0002656308736818877,0.00017259397663343216,0.9675834049448128,False,False,False,-10.062581410785995
7,dyn,gomez,bepridil,216.1,260.8,298.6,393.4,177.29999999999998,132.59999999999997,94.79999999999995,360.4,494.4,582.5,217.9,413.2,211.5,0.24274736020025092,1.572834329095093,241.33120391467924,-87.781804586122,40.417423391136836,9.21662540690099e-05,0.0002729393874351113,0.00018077313336610143,1.330086968894842,False,False,False,-9.774570702720752
8,dyn,gomez,bepridil,216.8,261.3,298.8,393.6,176.8,132.3,94.80000000000001,372.1,510.7,600.7,218.5,416.5,219.8,0.3321335476240682,1.7849665358230653,241.31740662735734,-87.78256766307307,40.414126494377875,9.211855659865954e-05,0.0002647530170701943,0.00017263446047153472,1.4528329881989972,False,False,False,-9.908311781354044
9,dyn,gomez,bepridil,217.0,261.4,298.7,393.2,176.2,131.8,94.5,373.3,515.7,611.3,220.6,433.7,202.0,0.3311639449433644,1.6163236062825272,241.24478350440415,-87.77985208468576,40.40510908689913,9.253297705070815e-05,0.00026179594847715716,0.000169262971426449,1.285159661339163,False,False,False,-8.718540120186063
10,dyn,gomez,bepridil,216.9,261.3,298.7,393.3,176.4,132.0,94.60000000000002,373.0,514.4,610.1,217.7,429.4,202.3,0.3863941232759802,1.8664445152768279,241.2563552561133,-87.78027110076933,40.40925833980073,9.246627921400628e-05,0.00026224635458951,0.0001697800753755037,1.4800503920008476,False,False,False,-8.876290053916463
11,dyn,gomez,bepridil,218.3,262.4,299.3,393.6,175.3,131.20000000000005,94.30000000000001,395.1,537.1,639.4,209.8,423.5,213.8,0.1893883501509795,1.1295305064508212,241.13308078265027,-87.77752585140925,40.41677917474263,9.296709399533447e-05,0.00024871773794300236,0.00015575064394766788,0.9401421562998418,False,False,False,-10.392379989727537
12,dyn,gomez,bepridil,217.2,261.6,298.9,393.6,176.40000000000003,132.0,94.70000000000005,376.4,511.6,607.9,206.7,404.7,207.3,0.1587064422899569,1.2118060925171372,241.2334130868956,-87.77969403370429,40.427761011280005,9.256538467069848e-05,0.0002606153414638879,0.0001680499567931894,1.0530996502271803,False,False,False,-10.452899572462606
13,dyn,gomez,bepridil,216.0,260.7,298.5,393.1,177.10000000000002,132.40000000000003,94.60000000000002,356.4,486.5,579.9,205.0,396.0,191.8,0.1577327637515198,1.3176536394941745,241.27862856216012,-87.7793238325095,40.4245937865882,9.251298964786153e-05,0.00027431502185106075,0.0001818020322031992,1.1599208757426547,False,False,False,-9.514409143127253
14,dyn,gomez,bepridil,217.1,261.5,298.9,393.6,176.50000000000003,132.10000000000002,94.70000000000005,376.4,517.7,610.5,220.8,427.2,219.9,0.36506269720801304,1.7410303877498285,241.29070186794618,-87.78200432009666,40.410328048186535,9.223021079968175e-05,0.00026125176445900315,0.0001690215536593214,1.3759676905418154,False,False,False,-9.604411863913157
15,dyn,gomez,bepridil,216.3,260.9,298.6,393.3,177.0,132.40000000000003,94.69999999999999,363.3,500.1,593.8,236.7,458.6,230.3,0.5903120872370501,2.193849263771971,241.32776678183316,-87.78203602667844,40.40120726181156,9.215992352731203e-05,0.00027031340188801673,0.00017815347836070469,1.6035371765349211,False,False,False,-8.845354479706472
16,dyn,gomez,bepridil,215.9,260.5,298.4,393.0,177.1,132.5,94.60000000000002,353.9,483.2,576.7,201.4,389.4,191.9,0.17757964932305204,1.4059308311239391,241.27847077161962,-87.77904565026219,40.41622174735713,9.254011901533062e-05,0.0002762020985771072,0.00018366197956177658,1.2283511818008872,False,False,False,-9.300928005877722
17,dyn,gomez,bepridil,218.0,262.2,299.2,393.7,175.7,131.5,94.5,392.4,542.6,639.5,238.2,461.5,241.3,0.4165708478476094,1.6352543859360953,241.30075245803872,-87.78415828298715,40.401407975168695,9.199938796800958e-05,0.0002518859815024496,0.00015988659353444003,1.218683538088486,False,False,False,-9.603634340116884
18,dyn,gomez,bepridil,216.7,261.1,298.7,393.2,176.5,132.09999999999997,94.5,367.3,502.6,599.6,206.7,405.8,196.3,0.22209422284582644,1.4549411662474738,241.24160287847832,-87.77908727201962,40.412524825623045,9.26091989959509e-05,0.0002659081910118667,0.00017329899201591582,1.2328469434016474,False,False,False,-9.312760253171852
19,dyn,gomez,bepridil,216.8,261.3,298.9,393.8,177.0,132.5,94.90000000000003,372.6,513.3,603.7,235.1,445.7,237.8,0.2522219594356877,1.4256269502399568,241.3806811576935,-87.78525000317076,40.409063770898584,9.172793637549985e-05,0.0002653309497025535,0.00017360301332705364,1.173404990804269,False,False,False,-10.190859036881648
20,dyn,gomez,bepridil,216.5,261.0,298.8,393.7,177.2,132.7,94.89999999999998,366.3,500.6,592.5,219.5,441.9,232.7,0.09551599385301994,0.9706664166883182,241.35914283922048,-87.78375907398723,40.412670389440656,9.192181112542615e-05,0.00026963205691279843,0.00017771024578737228,0.8751504228352983,False,False,False,-10.698756632953632
21,dyn,gomez,bepridil,216.7,261.2,298.7,393.3,176.60000000000002,132.10000000000002,94.60000000000002,368.2,502.8,598.2,204.4,397.9,202.4,0.2079310198413355,1.4608351429931465,241.24473273716717,-87.77927328913769,40.40503243615133,9.258346778531007e-05,0.00026584920683467,0.00017326573904935993,1.252904123151811,False,False,False,-9.459877591932994
22,dyn,gomez,bepridil,216.2,260.7,298.5,393.0,176.8,132.3,94.5,355.9,489.2,585.9,184.9,404.7,209.2,0.11739107737713517,0.9595063806844967,241.27244589016158,-87.77935464530285,40.406582857852136,9.2532919684535e-05,0.00027393848740012557,0.00018140556771559056,0.8421153033073615,False,False,False,-9.78997186986436
23,dyn,gomez,bepridil,217.4,261.7,299.1,394.0,176.6,132.3,94.89999999999998,381.5,519.3,609.3,216.2,411.1,226.4,0.1658282660678297,1.2353087586941287,241.29583990212254,-87.78269177585115,40.415008635207336,9.215779422181827e-05,0.00025946261200344165,0.00016730481778162338,1.069480492626299,False,False,False,-10.974326734237579
24,dyn,gomez,bepridil,215.6,260.3,298.3,393.0,177.4,132.7,94.69999999999999,350.0,480.7,571.9,232.2,449.1,217.3,0.45840661103942887,1.8532472542641758,241.3354405790639,-87.78079025854771,40.40880313229009,9.226335164334706e-05,0.00028031617631574577,0.0001880528246723987,1.3948406432247469,False,False,False,-8.819055128750165
25,dyn,gomez,bepridil,216.2,260.8,298.6,393.3,177.10000000000002,132.5,94.69999999999999,360.5,492.1,584.4,211.4,406.1,204.5,0.15545450005890535,1.217621643033831,241.29181837115357,-87.78030890071443,40.41929422425508,9.239391945187619e-05,0.0002719413006807411,0.0001795473812288649,1.0621671429749255,False,False,False,-9.803148969522518
26,dyn,gomez,bepridil,217.9,262.0,298.8,392.2,174.29999999999998,130.2,93.39999999999998,372.9,523.2,645.6,174.1,373.3,196.0,0.06024655077947232,0.6241777689233328,240.88951335827716,-87.76654496391077,40.376376209192586,9.45905753735978e-05,0.00025368316631284104,0.00015909259093924323,0.5639312181438605,False,False,False,-8.350941004125971
27,dyn,gomez,bepridil,216.3,260.8,298.5,392.8,176.5,132.0,94.30000000000001,357.9,488.1,587.2,189.5,357.9,184.2,0.13053836996877966,1.1543614364035837,241.16140819079405,-87.77495254907447,40.41269221587672,9.318637518864584e-05,0.00027073713445754054,0.0001775507592688947,1.023823066434804,False,False,False,-9.126297651893033
28,dyn,gomez,bepridil,216.6,261.1,298.6,393.1,176.50000000000003,132.0,94.5,363.7,493.8,590.7,194.8,361.5,195.9,0.15311630179331473,1.2175214438816768,241.1765934052469,-87.77610310664473,40.412952093252144,9.304458711546211e-05,0.0002677394228213855,0.00017469483570592339,1.064405142088362,False,False,False,-9.649735449264789
29,dyn,gomez,bepridil,216.8,261.2,298.7,393.1,176.3,131.90000000000003,94.40000000000003,368.6,504.6,603.5,208.1,409.3,196.2,0.1713527611801917,1.2400417535676238,241.21307310590683,-87.77810609044072,40.40608963717799,9.276610370237393e-05,0.00026459604971096313,0.0001718299460085892,1.068688992387432,False,False,False,-9.177485195845541
30,dyn,gomez,bepridil,216.3,260.9,298.6,393.3,177.0,132.40000000000003,94.69999999999999,361.8,493.8,585.5,207.3,397.2,206.2,0.15871025813846087,1.3109761864019596,241.28165850714564,-87.78002431926723,40.41021159977017,9.244018446892241e-05,0.0002710716697248454,0.00017863148525592301,1.1522659282634986,False,False,False,-9.697023289797798
31,dyn,gomez,bepridil,215.8,260.4,298.4,393.2,177.39999999999998,132.8,94.80000000000001,352.9,484.0,571.2,214.0,403.6,212.5,0.24138990542852426,1.6059678762884135,241.32942638448728,-87.7808670961197,40.40953875911885,9.226250707348149e-05,0.00027852816352144844,0.00018626565644796697,1.3645779708598893,False,False,False,-9.421865065724901
32,dyn,gomez,bepridil,217.5,261.8,298.8,392.6,175.10000000000002,130.8,93.80000000000001,370.8,511.6,628.3,178.4,369.2,196.1,0.09121793538332147,0.8117409139581405,240.98711302212416,-87.76994850640476,40.40183795808442,9.404783815939924e-05,0.00025735472967941314,0.0001633068915200139,0.7205229785748191,False,False,False,-9.426585737075705
33,dyn,gomez,bepridil,216.8,261.1,298.5,392.5,175.7,131.39999999999998,94.0,360.3,503.3,611.3,168.5,377.4,200.1,0.04370334883226845,0.5466347895910204,241.14291125136265,-87.77507646728296,40.38700813805746,9.322844999642308e-05,0.0002663312932267044,0.0001731028432302813,0.502931440758752,False,False,False,-8.475730288844154
34,dyn,gomez,bepridil,216.9,261.3,298.7,393.2,176.29999999999998,131.89999999999998,94.5,371.8,513.7,612.4,228.9,458.7,207.4,0.5233264816719042,1.9923723368526587,241.2640508616819,-87.78049679669576,40.403277656464226,9.243796648250905e-05,0.0002628721847841432,0.00017043421830163416,1.4690458551807546,False,False,False,-8.505271012955042
35,dyn,gomez,bepridil,216.0,260.6,298.4,392.9,176.89999999999998,132.29999999999995,94.5,353.7,481.8,575.2,193.1,365.4,194.9,0.11743793123638406,1.1438768058941216,241.22889664029125,-87.77706475345411,40.409970065647464,9.284387286909392e-05,0.00027577597151471353,0.00018293209864561963,1.0264388746577375,False,False,False,-9.370031764383597
36,dyn,gomez,bepridil,216.9,261.3,298.6,392.7,175.79999999999998,131.39999999999998,94.09999999999997,364.0,500.7,605.7,182.9,364.0,188.5,0.09238199907283891,0.9103302548548593,241.06077321274086,-87.77191000137857,40.40685189746986,9.370040453338261e-05,0.00026352561442810895,0.00016982520989472635,0.8179482557820204,False,False,False,-9.161616171440016
37,dyn,gomez,bepridil,217.4,261.7,299.0,393.6,176.20000000000002,131.90000000000003,94.60000000000002,380.4,516.1,611.6,205.7,397.2,209.4,0.17067148601861493,1.2340906731464203,241.1731131509782,-87.77759014852442,40.412555395926255,9.291259888475264e-05,0.00025798335378763367,0.00016507075490288103,1.0634191871278054,False,False,False,-10.311739022392864
38,dyn,gomez,bepridil,215.7,260.5,298.5,393.5,177.8,133.0,95.0,354.2,485.1,573.0,227.9,430.2,229.6,0.25898969654399423,1.751242100663272,241.40523605514826,-87.78401936904345,40.42576681848808,9.18006970135082e-05,0.00027912285739427746,0.00018732216038076926,1.4922524041192777,False,False,False,-10.349022939199727
