,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,dyn,control,ibutilide,266.6,331.2,408.9,599.6,333.0,268.40000000000003,190.70000000000005,174.7,295.0,526.1,157.2,314.2,117.8,0.048399216012480886,2.9512101500909798,253.5116183243443,-87.99028075237666,41.052394911792945,7.455147556798581e-05,0.0006734360888137826,0.0005988846132457969,2.9028109340784987,False,True,False,58.83116733197498
1,dyn,control,ibutilide,266.2,330.7,407.7,599.1,332.90000000000003,268.40000000000003,191.40000000000003,167.6,276.5,519.1,134.6,269.6,109.5,0.02048225238595788,2.4852599749852495,253.55048477425194,-87.99080917252515,41.092121013727606,7.439978084866348e-05,0.0007080512545178209,0.0006336514736691574,2.4647777225992917,False,True,False,59.88210208743775
2,dyn,control,ibutilide,266.2,330.8,408.9,601.7,335.50000000000006,270.90000000000003,192.80000000000007,177.9,297.8,531.1,189.9,401.6,161.1,0.10272961331407036,3.112037241339693,253.5460911772373,-87.99153411761255,41.053053043969896,7.410497428459696e-05,0.0006638697348122942,0.0005897647605276972,3.009307628025623,True,True,False,58.008897067262
3,dyn,control,ibutilide,266.4,331.0,408.8,599.5,333.1,268.5,190.7,178.9,295.9,530.0,141.6,301.8,132.9,0.02091073392284844,2.4641584076066043,253.52561216366405,-87.99063668804419,41.01097773049635,7.445778364528156e-05,0.0006632666279927437,0.0005888088443474621,2.443247673683756,False,True,False,58.90255361752011
4,dyn,control,ibutilide,266.0,330.6,408.1,599.0,333.0,268.4,190.89999999999998,175.5,288.2,525.0,152.9,296.5,146.3,0.06226547584828385,2.8025624192016902,253.55462894921456,-87.99115950663465,41.05106609495071,7.429008334545209e-05,0.0006810466490167393,0.0006067565656712871,2.7402969433534063,False,True,False,59.03716272734849
5,dyn,control,ibutilide,266.3,330.9,408.9,600.2,333.90000000000003,269.30000000000007,191.30000000000007,175.8,293.1,526.3,168.7,366.4,121.8,0.0271422686525553,2.3880065577620777,253.53583590861317,-87.99097336493632,41.029303409633364,7.432376192465806e-05,0.0006739963564806219,0.0005996725945559638,2.3608642891095224,False,True,False,58.67843646870798
6,dyn,control,ibutilide,266.3,330.8,408.0,598.6,332.3,267.8,190.60000000000002,173.5,286.2,525.7,139.5,272.8,118.3,0.03821788303575242,2.719212706547301,253.53548451065623,-87.99061334645351,41.04609053037073,7.447054321732748e-05,0.0006861654038630448,0.0006116948606457173,2.6809948235115484,False,True,False,59.56371382733816
7,dyn,control,ibutilide,266.0,330.6,408.0,600.3,334.29999999999995,269.69999999999993,192.29999999999995,168.1,279.0,518.7,182.1,403.4,125.9,0.07984588326518627,3.0848518962484617,253.5698739323135,-87.99151672272241,41.11560771361896,7.413342348756883e-05,0.0007069589741604621,0.0006328255506728933,3.0050060129832756,True,True,False,59.027227016787535
8,dyn,control,ibutilide,266.5,331.1,409.3,601.3,334.79999999999995,270.19999999999993,191.99999999999994,179.8,303.0,536.2,186.8,437.8,137.8,0.11722016309635923,3.20537727803432,253.52636270740123,-87.99121615448384,41.023304531291394,7.420914644749777e-05,0.0006575258178701146,0.0005833166714226168,3.0881571149379607,False,True,False,57.947519561610825
9,dyn,control,ibutilide,266.8,331.3,409.3,601.6,334.8,270.3,192.3,176.7,301.8,540.3,172.4,467.5,110.7,0.10514708991693586,3.095446251327831,253.50400201261553,-87.99072922805468,41.05049632247171,7.435112514957695e-05,0.0006618679912191594,0.0005875168660695824,2.990299161410895,False,True,False,58.23144759836478
